name,:roof_base_type,:roof_base_cavity_insul,:roof_base_cont_insul,:wall_base_type,:wall_base_cavity_insul,:wall_base_cont_insul,:foundation_insul,:window_u,:window_shgc,:air_leakage,:infiltration_schedule,:lighting_density_residence,:lighting_schedule_residence,:equipment_density_residence,:equipment_schedule,:occupant_schedule,:heat_sizing_factor,:cool_sizing_factor,:heating_setpoint,:heating_setpoint_setback,:cooling_setpoint,:cooling_setpoint_setup,:heating_setpoint_sch,:cooling_setpoint_sch,:oa_person_office,:oa_area_office,:cooling_coil_cop,:heating_coil_eff,:fan_eff,:fan_rise,:zone_hvac,:zone_hvac_residence,:operation_schedule_residence,:minoa_schedule,:economizer_type,:economizer_high_limit,:economizer_lockout,:loss_factor,:dhw_office,:dhw_temp,:dhw_schedule,:ext_light_w,:dhw_residence,:dhw_kitchen,:dhw_laundry,:equipment_density_residence,:oa_person_residence,:oa_area_residence,oa_area_kitchen,:oa_person_common
existing-cbsa-2014,Insulation Entirely Above Deck,"0|""R-IP""","16.35|""R-IP""",Wood Framing at 16 in. on center,"0|""R-IP""","9.5|""R-IP""","3.49|""R-IP""","0.68|""U-IP""",0.41,"0.4|""CFM/ft2""","Through: 12/31,\n  For: AllDays,\n  Until: 24:00, 0.25;","1.0|""W/ft2""","Through: 12/31,\n For: SummerDesignDay,\n Until: 24:00, 1.0,\n For: WinterDesignDay,\n Until: 24:00, 0.0,\n For: Weekdays,\n Until: 1:00, 0.219,\n Until: 2:00, 0.253,\n Until: 3:00, 0.339,\n Until: 4:00, 0.508,\n Until: 5:00, 0.703,\n Until: 6:00, 0.833,\n Until: 7:00, 0.894,\n Until: 8:00, 0.9,\n Until: 9:00, 0.887,\n Until: 10:00, 0.885,\n Until: 11:00, 0.885,\n Until: 12:00, 0.885,\n Until: 13:00, 0.885,\n Until: 14:00, 0.885,\n Until: 15:00, 0.885,\n Until: 16:00, 0.889,\n Until: 17:00, 0.889,\n Until: 18:00, 0.859,\n Until: 19:00, 0.782,\n Until: 20:00, 0.686,\n Until: 21:00, 0.562,\n Until: 22:00, 0.456,\n Until: 23:00, 0.368,\n Until: 24:00, 0.305,\n For: Saturday,\n Until: 1:00, 0.208,\n Until: 2:00, 0.207,\n Until: 3:00, 0.208,\n Until: 4:00, 0.21,\n Until: 5:00, 0.215,\n Until: 6:00, 0.23,\n Until: 7:00, 0.266,\n Until: 8:00, 0.32,\n Until: 9:00, 0.377,\n Until: 10:00, 0.411,\n Until: 11:00, 0.417,\n Until: 12:00, 0.404,\n Until: 13:00, 0.38,\n Until: 14:00, 0.342,\n Until: 15:00, 0.31,\n Until: 16:00, 0.283,\n Until: 17:00, 0.262,\n Until: 18:00, 0.246,\n Until: 19:00, 0.231,\n Until: 20:00, 0.22,\n Until: 21:00, 0.215,\n Until: 22:00, 0.212,\n Until: 23:00, 0.211,\n Until: 24:00, 0.21,\n For: Sunday AllOtherDays,\n Until: 1:00, 0.208,\n Until: 2:00, 0.207,\n Until: 3:00, 0.207,\n Until: 4:00, 0.21,\n Until: 5:00, 0.215,\n Until: 6:00, 0.227,\n Until: 7:00, 0.251,\n Until: 8:00, 0.279,\n Until: 9:00, 0.302,\n Until: 10:00, 0.315,\n Until: 11:00, 0.319,\n Until: 12:00, 0.318,\n Until: 13:00, 0.319,\n Until: 14:00, 0.312,\n Until: 15:00, 0.305,\n Until: 16:00, 0.295,\n Until: 17:00, 0.282,\n Until: 18:00, 0.268,\n Until: 19:00, 0.251,\n Until: 20:00, 0.235,\n Until: 21:00, 0.225,\n Until: 22:00, 0.218,\n Until: 23:00, 0.213,\n Until: 24:00, 0.21;",,,,2,2,,,,,,,,,2.93,0.78,,,SZDX,SZDX,"Through: 12/31,\n For: AllDays,\n Until: 24:00, 1;",,NoEconomizer,,,,,,,"3318|""W""",,,,,,"0.06|""CFM/ft2""",,
CalibNew,Insulation Entirely Above Deck,"0|""R-IP""","7|""R-IP""",Wood Framing at 16 in. on center,"0|""R-IP""","9.5|""R-IP""","3.49|""R-IP""","0.68|""U-IP""",0.3,"1.3|""CFM/ft2""","Through: 12/31,\n  For: AllDays,\n  Until: 24:00, 0.25;","1.0|""W/ft2""","Through: 12/31,\n For: SummerDesignDay,\n Until: 24:00, 1.0,\n For: WinterDesignDay,\n Until: 24:00, 0.0,\n For: Weekdays,\n Until: 1:00, 0.219,\n Until: 2:00, 0.253,\n Until: 3:00, 0.339,\n Until: 4:00, 0.508,\n Until: 5:00, 0.703,\n Until: 6:00, 0.833,\n Until: 7:00, 0.894,\n Until: 8:00, 0.9,\n Until: 9:00, 0.887,\n Until: 10:00, 0.885,\n Until: 11:00, 0.885,\n Until: 12:00, 0.885,\n Until: 13:00, 0.885,\n Until: 14:00, 0.885,\n Until: 15:00, 0.885,\n Until: 16:00, 0.889,\n Until: 17:00, 0.889,\n Until: 18:00, 0.859,\n Until: 19:00, 0.782,\n Until: 20:00, 0.686,\n Until: 21:00, 0.562,\n Until: 22:00, 0.456,\n Until: 23:00, 0.368,\n Until: 24:00, 0.305,\n For: Saturday,\n Until: 1:00, 0.208,\n Until: 2:00, 0.207,\n Until: 3:00, 0.208,\n Until: 4:00, 0.21,\n Until: 5:00, 0.215,\n Until: 6:00, 0.23,\n Until: 7:00, 0.266,\n Until: 8:00, 0.32,\n Until: 9:00, 0.377,\n Until: 10:00, 0.411,\n Until: 11:00, 0.417,\n Until: 12:00, 0.404,\n Until: 13:00, 0.38,\n Until: 14:00, 0.342,\n Until: 15:00, 0.31,\n Until: 16:00, 0.283,\n Until: 17:00, 0.262,\n Until: 18:00, 0.246,\n Until: 19:00, 0.231,\n Until: 20:00, 0.22,\n Until: 21:00, 0.215,\n Until: 22:00, 0.212,\n Until: 23:00, 0.211,\n Until: 24:00, 0.21,\n For: Sunday AllOtherDays,\n Until: 1:00, 0.208,\n Until: 2:00, 0.207,\n Until: 3:00, 0.207,\n Until: 4:00, 0.21,\n Until: 5:00, 0.215,\n Until: 6:00, 0.227,\n Until: 7:00, 0.251,\n Until: 8:00, 0.279,\n Until: 9:00, 0.302,\n Until: 10:00, 0.315,\n Until: 11:00, 0.319,\n Until: 12:00, 0.318,\n Until: 13:00, 0.319,\n Until: 14:00, 0.312,\n Until: 15:00, 0.305,\n Until: 16:00, 0.295,\n Until: 17:00, 0.282,\n Until: 18:00, 0.268,\n Until: 19:00, 0.251,\n Until: 20:00, 0.235,\n Until: 21:00, 0.225,\n Until: 22:00, 0.218,\n Until: 23:00, 0.213,\n Until: 24:00, 0.21;","1.5|""W/ft2""",,,2,2,"73|""F""",,"78|""F""",,,,,,3.93,0.65,0.8,,SZDX,SZDX,"Through: 12/31,\n For: AllDays,\n Until: 24:00, 1;",,NoEconomizer,,,,,,,"2500|""W""","0.17|""GPM""","0.7|""GPM""","0.15|""GPM""",,"7|""CFM""","0.1|""CFM/ft2""","0.2|""CFM/ft2""","6|""CFM"""
