name,:roof_base_type,:roof_base_cavity_insul,:roof_base_cont_insul,:wall_base_type,:wall_base_cavity_insul,:wall_base_cont_insul,:foundation_insul,:window_u,:window_shgc,:air_leakage,:infiltration_schedule,:lighting_density_bulkstorage,:lighting_density_finestorage,:lighting_density_office,:lighting_schedule,:equipment_density_bulkstorage,:equipment_schedule,:occupant_schedule,:heat_sizing_factor,:cool_sizing_factor,:heating_setpoint,:heating_setpoint_setback,:cooling_setpoint,:cooling_setpoint_setup,:heating_setpoint_sch,:cooling_setpoint_sch,:oa_person_office,:oa_area_office,:cooling_coil_cop_finestorage,:heating_coil_eff,:fan_eff_finestorage,:fan_rise,:zone_hvac,:operation_schedule,:minoa_schedule,:economizer_type,:economizer_high_limit,:economizer_lockout,:loss_factor,:dhw_office,:dhw_temp,:dhw_schedule,:ext_light_w,:occupant_density_finestorage,:oa_area_finestorage,:occupant_density_office,:fan_eff_finestorage,:economizer_max_oa_frac
default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existing-cbsa-2014,Insulation Entirely Above Deck,"0|""R-IP""","16.69|""R-IP""",Wood Framing at 16 in. on center,"0|""R-IP""","8.77|""R-IP""","2.26'|""R-IP""","0.67|""U-IP""",0.41,"0.4|""CFM/ft2""","Through: 12/31,\n For: SummerDesignDay WinterDesignDay Weekdays,\n Until: 7:00, 1,\n Until: 17:00, 0.25,\n Until: 24:00, 1,\n For: Saturday,\n Until: 10:00, 1,\n Until: 13:00, 0.25,\n Until: 24:00, 1,\n For: Sunday AllOtherDays,\n Until: 11:00, 1,\n Until: 13:00, 0.25,\n Until: 24:00, 1;","0.5|""W/ft2""","0.7|""W/ft2""","1.2|""W/ft2""","Through: 12/31,\n For: SummerDesignDay,\n Until: 24:00, 1.0,\n For: WinterDesignDay,\n Until: 24:00, 0.0,\n For: Weekdays,\n Until: 1:00, 0.223,\n Until: 2:00, 0.211,\n Until: 3:00, 0.213,\n Until: 4:00, 0.254,\n Until: 5:00, 0.402,\n Until: 6:00, 0.581,\n Until: 7:00, 0.787,\n Until: 8:00, 0.875,\n Until: 9:00, 0.897,\n Until: 10:00, 0.898,\n Until: 11:00, 0.898,\n Until: 12:00, 0.896,\n Until: 13:00, 0.898,\n Until: 14:00, 0.9,\n Until: 15:00, 0.88,\n Until: 16:00, 0.826,\n Until: 17:00, 0.705,\n Until: 18:00, 0.576,\n Until: 19:00, 0.477,\n Until: 20:00, 0.391,\n Until: 21:00, 0.332,\n Until: 22:00, 0.29,\n Until: 23:00, 0.25,\n Until: 24:00, 0.25,\n For: Saturday,\n Until: 1:00, 0.184,\n Until: 2:00, 0.177,\n Until: 3:00, 0.174,\n Until: 4:00, 0.174,\n Until: 5:00, 0.176,\n Until: 6:00, 0.197,\n Until: 7:00, 0.225,\n Until: 8:00, 0.259,\n Until: 9:00, 0.292,\n Until: 10:00, 0.314,\n Until: 11:00, 0.329,\n Until: 12:00, 0.334,\n Until: 13:00, 0.332,\n Until: 14:00, 0.312,\n Until: 15:00, 0.295,\n Until: 16:00, 0.278,\n Until: 17:00, 0.266,\n Until: 18:00, 0.252,\n Until: 19:00, 0.236,\n Until: 20:00, 0.206,\n Until: 21:00, 0.199,\n Until: 22:00, 0.192,\n Until: 23:00, 0.19,\n Until: 24:00, 0.188,\n For: Sunday AllOtherDays,\n Until: 1:00, 0.164,\n Until: 2:00, 0.164,\n Until: 3:00, 0.166,\n Until: 4:00, 0.179,\n Until: 5:00, 0.201,\n Until: 6:00, 0.229,\n Until: 7:00, 0.255,\n Until: 8:00, 0.267,\n Until: 9:00, 0.272,\n Until: 10:00, 0.273,\n Until: 11:00, 0.273,\n Until: 12:00, 0.268,\n Until: 13:00, 0.267,\n Until: 14:00, 0.267,\n Until: 15:00, 0.266,\n Until: 16:00, 0.26,\n Until: 17:00, 0.251,\n Until: 18:00, 0.224,\n Until: 19:00, 0.208,\n Until: 20:00, 0.2,\n Until: 21:00, 0.194,\n Until: 22:00, 0.187,\n Until: 23:00, 0.18,\n Until: 24:00, 0.173;",,,,2,2,,,,,,,,,,,,,SZDX,"Through: 12/31,\n For: SummerDesignDay WinterDesignDay Weekdays,\n Until: 7:00, 0,\n Until: 17:00, 1,\n Until: 24:00, 0,\n For: Saturday,\n Until: 10:00, 0,\n Until: 13:00, 1,\n Until: 24:00, 0,\n For: Sunday AllOtherDays,\n Until: 11:00, 0,\n Until: 13:00, 1,\n Until: 24:00, 0;",nil,,,,,,,,"4455|""W""",,,,,
Calib,Insulation Entirely Above Deck,"0|""R-IP""","13|""R-IP""",Wood Framing at 16 in. on center,"0|""R-IP""","8.77|""R-IP""","2.26'|""R-IP""","0.67|""U-IP""",0.41,"0.6|""CFM/ft2""","Through: 12/31,\n For: SummerDesignDay WinterDesignDay Weekdays,\n Until: 7:00, 1,\n Until: 17:00, 0.25,\n Until: 24:00, 1,\n For: Saturday,\n Until: 10:00, 1,\n Until: 13:00, 0.25,\n Until: 24:00, 1,\n For: Sunday AllOtherDays,\n Until: 11:00, 1,\n Until: 13:00, 0.25,\n Until: 24:00, 1;","1.3|""W/ft2""",,"1.2|""W/ft2""","Through: 12/31,\n For: SummerDesignDay,\n Until: 24:00, 1.0,\n For: WinterDesignDay,\n Until: 24:00, 0.0,\n For: Weekdays,\n Until: 1:00, 0.223,\n Until: 2:00, 0.211,\n Until: 3:00, 0.213,\n Until: 4:00, 0.254,\n Until: 5:00, 0.402,\n Until: 6:00, 0.581,\n Until: 7:00, 0.787,\n Until: 8:00, 0.875,\n Until: 9:00, 0.897,\n Until: 10:00, 0.898,\n Until: 11:00, 0.898,\n Until: 12:00, 0.896,\n Until: 13:00, 0.898,\n Until: 14:00, 0.9,\n Until: 15:00, 0.88,\n Until: 16:00, 0.826,\n Until: 17:00, 0.705,\n Until: 18:00, 0.576,\n Until: 19:00, 0.477,\n Until: 20:00, 0.391,\n Until: 21:00, 0.332,\n Until: 22:00, 0.29,\n Until: 23:00, 0.25,\n Until: 24:00, 0.25,\n For: Saturday,\n Until: 1:00, 0.184,\n Until: 2:00, 0.177,\n Until: 3:00, 0.174,\n Until: 4:00, 0.174,\n Until: 5:00, 0.176,\n Until: 6:00, 0.197,\n Until: 7:00, 0.225,\n Until: 8:00, 0.259,\n Until: 9:00, 0.292,\n Until: 10:00, 0.314,\n Until: 11:00, 0.329,\n Until: 12:00, 0.334,\n Until: 13:00, 0.332,\n Until: 14:00, 0.312,\n Until: 15:00, 0.295,\n Until: 16:00, 0.278,\n Until: 17:00, 0.266,\n Until: 18:00, 0.252,\n Until: 19:00, 0.236,\n Until: 20:00, 0.206,\n Until: 21:00, 0.199,\n Until: 22:00, 0.192,\n Until: 23:00, 0.19,\n Until: 24:00, 0.188,\n For: Sunday AllOtherDays,\n Until: 1:00, 0.164,\n Until: 2:00, 0.164,\n Until: 3:00, 0.166,\n Until: 4:00, 0.179,\n Until: 5:00, 0.201,\n Until: 6:00, 0.229,\n Until: 7:00, 0.255,\n Until: 8:00, 0.267,\n Until: 9:00, 0.272,\n Until: 10:00, 0.273,\n Until: 11:00, 0.273,\n Until: 12:00, 0.268,\n Until: 13:00, 0.267,\n Until: 14:00, 0.267,\n Until: 15:00, 0.266,\n Until: 16:00, 0.26,\n Until: 17:00, 0.251,\n Until: 18:00, 0.224,\n Until: 19:00, 0.208,\n Until: 20:00, 0.2,\n Until: 21:00, 0.194,\n Until: 22:00, 0.187,\n Until: 23:00, 0.18,\n Until: 24:00, 0.173;","0.6|""W/ft2""",,,2,2,,,"76|""F""",,,,,,3.6,0.8,,,SZDX,"Through: 12/31,\n For: SummerDesignDay WinterDesignDay Weekdays,\n Until: 7:00, 0,\n Until: 17:00, 1,\n Until: 24:00, 0,\n For: Saturday,\n Until: 10:00, 0,\n Until: 13:00, 1,\n Until: 24:00, 0,\n For: Sunday AllOtherDays,\n Until: 11:00, 0,\n Until: 13:00, 1,\n Until: 24:00, 0;",nil,,,,,"1|""GPM""","105|""F""",,"3500|""W""","0.04|""1/ft2""",,"0.01|""1/ft2""",,
