Parameter,Total Annual,Elec Annual,Gas Annual,Elec Jan,Elec Feb,Elec Mar,Elec Apr,Elec May,Elec Jun,Elec Jul,Elec Aug,Elec Sep,Elec Oct,Elec Nov,Elec Dec,Gas Jan,Gas Feb,Gas Mar,Gas Apr,Gas May,Gas Jun,Gas Jul,Gas Aug,Gas Sep,Gas Oct,Gas Nov,Gas Dec
lighting_density_meeting,0.006485963,0.007871404,0,0.004751198,0.005590033,0.006998856,0.007973839,0.008756567,0.009797574,0.010091594,0.009991243,0.009891154,0.008386929,0.00650266,0.005199757,0,0,0,0,0,0,0,0,0,0,0,0
oa_area_meeting,0.005468147,0.006638571,0,0.015480397,0.013551666,0.010086392,0.006935433,0.004190183,0.000866363,0.000529187,0.000439806,0.000563673,0.005301582,0.010773618,0.014449748,0,0,0,0,0,0,0,0,0,0,0,0
oa_person_laundry,0.004174868,0.005069094,0,0.00377807,0.004458357,0.007189802,0.006423502,0.005528177,0.004159986,0.002971224,0.002278815,0.004293334,0.006363319,0.007288962,0.006636017,0,0,0,0,0,0,0,0,0,0,0,0
lighting_density_laundry,0.003868978,0.004695581,0,0.004533706,0.004638614,0.004884488,0.004794122,0.004743995,0.004709644,0.004544901,0.00446393,0.004670068,0.004825248,0.004863194,0.004718002,0,0,0,0,0,0,0,0,0,0,0,0
lighting_density_storage,0.003798685,0.004611307,0,0.002886983,0.003556188,0.005066526,0.005113483,0.005134129,0.005017518,0.004915103,0.004827449,0.005021428,0.005135347,0.004778592,0.003642197,0,0,0,0,0,0,0,0,0,0,0,0
lighting_density_employeelounge,0.003486487,0.004232346,0,0.003691759,0.003792368,0.004494382,0.004441454,0.004407737,0.004412719,0.00418495,0.00422968,0.004286457,0.004439995,0.00441471,0.003944688,0,0,0,0,0,0,0,0,0,0,0,0
oa_person_office,0.003350134,0.004065407,0,0.017362564,0.014432313,0.006316621,0.001570493,0.001800489,0.002427184,0.001872583,0.001439424,0.002342327,0.001046481,0.006612918,0.01451385,0,0,0,0,0,0,0,0,0,0,0,0
equipment_density_restroom,0.003199914,0.00388421,0,0.002970003,0.003269987,0.004008281,0.004125746,0.004191796,0.004151351,0.004061079,0.004028398,0.00419768,0.004176819,0.003912648,0.003423619,0,0,0,0,0,0,0,0,0,0,0,0
oa_area_laundry,0.003113949,0.003779947,0,0.005675321,0.0053481,0.004886639,0.004081084,0.003338327,0.002424452,0.001667751,0.001238811,0.002512889,0.00391662,0.005001364,0.005669032,0,0,0,0,0,0,0,0,0,0,0,0
oa_area_fitness,0.002992213,0.003632228,0,0.006856562,0.006244087,0.005281458,0.003812514,0.002569153,0.001299714,0.000773269,0.000559687,0.001430677,0.003438819,0.005363636,0.006660035,0,0,0,0,0,0,0,0,0,0,0,0
lighting_density_fitness,0.002662185,0.003231642,0,0.001825825,0.002086792,0.002468918,0.003140563,0.003721448,0.004322455,0.004545455,0.004583682,0.004196409,0.003221032,0.002459016,0.001908728,0,0,0,0,0,0,0,0,0,0,0,0
oa_area_office,0.002560721,0.003107617,0,0.016622006,0.01345712,0.004652183,0.000224427,0.002741252,0.002988824,0.002197355,0.001678858,0.002904456,0.00217808,0.005075452,0.012982005,0,0,0,0,0,0,0,0,0,0,0,0
equipment_density_meeting,0.002239852,0.002722582,0,0.001358984,0.001707456,0.002380113,0.002826126,0.003122727,0.003544873,0.003653339,0.003588231,0.003590742,0.003002742,0.00214006,0.001561687,0,0,0,0,0,0,0,0,0,0,0,0
lighting_density_mechanical,0.002165102,0.002625298,0,0.001359908,0.001756468,0.002471206,0.002875241,0.003127946,0.003205406,0.003172924,0.003156086,0.003207907,0.003094626,0.002415569,0.001606251,0,0,0,0,0,0,0,0,0,0,0,0
oa_area_corridor,0.002096816,0.002540907,0,0.033621044,0.020615685,0.012276933,0.016041825,0.015527685,0.01239259,0.009417113,0.007380221,0.012961203,0.016476608,0.002402103,0.019987269,0,0,0,0,0,0,0,0,0,0,0,0
