key,dependencies,units,values
mult_cooling_coil_cop_ptac,,,
supply_fan_type_psz,,,
fan_eff_psz,,,
fan_eff_psz_frontlounge,,,
fan_eff_psz_laundry,,,
fan_rise_psz,,,
fan_motor_eff_psz,,,
fan_motor_eff_psz_frontlounge,,,
fan_motor_eff_psz_laundry,,,
heating_coil_eff_psz,,,
heating_coil_eff_psz_laundry,,,
cooling_coil_cop_psz,,,
cooling_coil_cop_psz_laundry,,,
return_fan_psz,,,false,true
fan_eff_fcu,,,
fan_rise_fcu,,,
fan_motor_eff_fcu,,,
radiant_control_type,,,MAT,MRT,OPT
radiant_supp_cw_temp,,,
radiant_tube_spacing,,,
radiant_supp_hw_temp,,,
radiant_tube_diameter,,,
radiant_flow_sizing,,,
ext_light_w,,,
schedule_ext_lights,,,
control_option,,,ASTRONOMICALCLOCK,SCHEDULENAMEONLY
supply_cw_temp,,,
supply_cw_delta,,,
pump_type_cw,,,CONSTANT,VARIABLE
pump_eff_cw,,,
pump_head_cw,,,
pump_control_cw,,,INTERMITTENT,CONTINUOUS
cooling_source,,,CHILLER,GSHP
chiller_duplicate,,,false,true
chiller_type,,,ELECTRIC,ABSORPTION
chiller_model,,,NREL,TRANE_RTAA_125,TRANE_CGA_120,Air-Cooled GTE 150tons Default 90.1-2004,WC Screw Default 90.1-2004,WC Centrifugal Default 90.1-2004
chiller_cop,,,
chiller_sizing,,,
chiller_condenser,,,AIRCOOLED,WATERCOOLED,EVAPCOOLED
chiller_cond_hr,,,false,true
chiller_hr_flow,,,
chiller_outdoor_min,,,
pump_eff_cond,,,
pump_head_cond,,,
chiller_generator_type,,,HOTWATER,STEAM,DIRECTFIRED
chiller_economizer,,,false,true
tower_type,,,VARIABLESPEED,SINGLESPEED
supply_hr_temp,,,
supply_hr_delta,,,
pump_eff_hr,,,
pump_head_hr,,,
heating_source,,,BOILER,CHP
boiler_type,,,NONCONDENSING,CONDENSING,ELECTRIC
supply_hw_setpoint_type,,,Constant,Reset
supply_hw_temp,,,
supply_hw_delta,,,
supply_hw_temp_at_lo,,,
hw_lo_outdoor_temp,,,
supply_hw_temp_at_hi,,,
hw_hi_outdoor_temp,,,
pump_type_hw,,,CONSTANT,VARIABLE
pump_eff_hw,,,
pump_head_hw,,,
pump_control_hw,,,INTERMITTENT,CONTINUOUS
boiler_eff,,,
chp_therm_eff,,,
chp_elec_eff,,,
water_heater_fuel,,,NaturalGas,Electricity,DistrictHeating
water_heater_eff,,,
supply_dhw_temp,,,
pump_eff_dhw,,,
pump_head_dhw,,,
dhw_recovery,,,false,true
daylighting_controls,,,true,false
top_daylighting,,,NONE,SKYLIGHT,TUBULAR
solar_hot_water,,,true,false
solar_collector_type,,,GLAZED-FLAT-PLATE,TUBULAR
solar_collector_performance,,,LOW,MEDIUM,HIGH
solar_collector_fraction_usable_roof_area,,,
rainwater_harvest,,,true,false
graywater_recycling,,,true,false
cooling_coil_condensate,,,true,false
landscaping_control,,,true,false
landscaping_area,,,
annual_irrigation_factor,,,
irrigation_system_efficiency,,,
vestibule,,,true,false
