name,:roof_base_type,:roof_base_cavity_insul,:roof_base_cont_insul,:wall_base_type,:wall_base_cavity_insul,:wall_base_cont_insul,:foundation_insul,:window_u,:window_shgc,:air_leakage,:infiltration_schedule,:lighting_density_lobby,:lighting_density_corridor,:lighting_density_residence,:lighting_density_dining,:lighting_density_kitchen,:lighting_schedule_residence,:equipment_schedule,:occupant_schedule,:heat_sizing_factor,:cool_sizing_factor,:heating_setpoint,:heating_setpoint_setback,:cooling_setpoint,:heating_setpoint_sch,:cooling_setpoint_sch,:oa_person_office,:oa_area_office,:cooling_coil_cop,:heating_coil_eff,:fan_eff,:fan_rise,:zone_hvac,:zone_hvac_residence,:operation_schedule,:operation_schedule_residence,:minoa_schedule,:gas_max_kitchen,:dhw_temp_residence,:dhw_residence,:boiler_eff,:ext_light_w,:rangeoven_power,:chiller_cop,:equipment_density_banquet,:equipment_density_dining,:equipment_density_kitchen,:equipment_density_residence2,:fan_eff_supply,:equipment_density_basement
default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existing-cbsa-2014,Insulation Entirely Above Deck,"0|""R-IP""","17.27|""R-IP""",Steel Framing at 16 in. on center,"0|""R-IP""","7.55|""R-IP""","3.05|""R-IP""","0.66|""U-IP""",0.4,"0.4|""CFM/ft2""","Through: 12/31,\n  For: AllDays,\n  Until: 24:00, 0.25;","0.9|""W/ft2""","0.9|""W/ft2""","0.8|""W/ft2""",,,"Through: 12/31,\n For: SummerDesignDay,\n Until: 24:00, 1.0,\n For: WinterDesignDay,\n Until: 24:00, 0.0,\n For: Weekdays,\n Until: 1:00, 0.473,\n Until: 2:00, 0.473,\n Until: 3:00, 0.431,\n Until: 4:00, 0.418,\n Until: 5:00, 0.42,\n Until: 6:00, 0.459,\n Until: 7:00, 0.582,\n Until: 8:00, 0.7,\n Until: 9:00, 0.786,\n Until: 10:00, 0.695,\n Until: 11:00, 0.649,\n Until: 12:00, 0.634,\n Until: 13:00, 0.625,\n Until: 14:00, 0.625,\n Until: 15:00, 0.626,\n Until: 16:00, 0.637,\n Until: 17:00, 0.681,\n Until: 18:00, 0.739,\n Until: 19:00, 0.822,\n Until: 20:00, 0.9,\n Until: 21:00, 0.843,\n Until: 22:00, 0.674,\n Until: 23:00, 0.548,\n Until: 24:00, 0.548,\n For: Saturday,\n Until: 1:00, 0.472,\n Until: 2:00, 0.472,\n Until: 3:00, 0.43,\n Until: 4:00, 0.417,\n Until: 5:00, 0.419,\n Until: 6:00, 0.451,\n Until: 7:00, 0.522,\n Until: 8:00, 0.652,\n Until: 9:00, 0.755,\n Until: 10:00, 0.697,\n Until: 11:00, 0.649,\n Until: 12:00, 0.633,\n Until: 13:00, 0.629,\n Until: 14:00, 0.629,\n Until: 15:00, 0.629,\n Until: 16:00, 0.625,\n Until: 17:00, 0.636,\n Until: 18:00, 0.682,\n Until: 19:00, 0.739,\n Until: 20:00, 0.819,\n Until: 21:00, 0.847,\n Until: 22:00, 0.686,\n Until: 23:00, 0.551,\n Until: 24:00, 0.551,\n For: Sunday AllOtherDays,\n Until: 1:00, 0.472,\n Until: 2:00, 0.472,\n Until: 3:00, 0.431,\n Until: 4:00, 0.418,\n Until: 5:00, 0.419,\n Until: 6:00, 0.453,\n Until: 7:00, 0.534,\n Until: 8:00, 0.66,\n Until: 9:00, 0.76,\n Until: 10:00, 0.694,\n Until: 11:00, 0.646,\n Until: 12:00, 0.631,\n Until: 13:00, 0.625,\n Until: 14:00, 0.625,\n Until: 15:00, 0.625,\n Until: 16:00, 0.623,\n Until: 17:00, 0.634,\n Until: 18:00, 0.679,\n Until: 19:00, 0.737,\n Until: 20:00, 0.817,\n Until: 21:00, 0.841,\n Until: 22:00, 0.681,\n Until: 23:00, 0.55,\n Until: 24:00, 0.55;",,,2,2,,,,,,,,,,,,VAVREHEAT,VAVREHEAT,"Through: 12/31,\n  For: AllDays,\n  Until: 24:00, 1;","Through: 12/31,\n  For: AllDays,\n  Until: 24:00, 1;",nil,,,,,"12212|""W""",,,,,,,,
Calib,Insulation Entirely Above Deck,"0|""R-IP""","17.27|""R-IP""",Steel Framing at 16 in. on center,"0|""R-IP""","7.55|""R-IP""","3.05|""R-IP""","0.66|""U-IP""",0.4,"0.4|""CFM/ft2""","Through: 12/31,\n  For: AllDays,\n  Until: 24:00, 0.25;","1.5|""W/ft2""","1.3|""W/ft2""","1.3|""W/ft2""","1.6|""W/ft2""","1.6|""W/ft2""","Through: 12/31,\n For: SummerDesignDay,\n Until: 24:00, 1.0,\n For: WinterDesignDay,\n Until: 24:00, 0.0,\n For: Weekdays,\n Until: 1:00, 0.473,\n Until: 2:00, 0.473,\n Until: 3:00, 0.431,\n Until: 4:00, 0.418,\n Until: 5:00, 0.42,\n Until: 6:00, 0.459,\n Until: 7:00, 0.582,\n Until: 8:00, 0.7,\n Until: 9:00, 0.786,\n Until: 10:00, 0.695,\n Until: 11:00, 0.649,\n Until: 12:00, 0.634,\n Until: 13:00, 0.625,\n Until: 14:00, 0.625,\n Until: 15:00, 0.626,\n Until: 16:00, 0.637,\n Until: 17:00, 0.681,\n Until: 18:00, 0.739,\n Until: 19:00, 0.822,\n Until: 20:00, 0.9,\n Until: 21:00, 0.843,\n Until: 22:00, 0.674,\n Until: 23:00, 0.548,\n Until: 24:00, 0.548,\n For: Saturday,\n Until: 1:00, 0.472,\n Until: 2:00, 0.472,\n Until: 3:00, 0.43,\n Until: 4:00, 0.417,\n Until: 5:00, 0.419,\n Until: 6:00, 0.451,\n Until: 7:00, 0.522,\n Until: 8:00, 0.652,\n Until: 9:00, 0.755,\n Until: 10:00, 0.697,\n Until: 11:00, 0.649,\n Until: 12:00, 0.633,\n Until: 13:00, 0.629,\n Until: 14:00, 0.629,\n Until: 15:00, 0.629,\n Until: 16:00, 0.625,\n Until: 17:00, 0.636,\n Until: 18:00, 0.682,\n Until: 19:00, 0.739,\n Until: 20:00, 0.819,\n Until: 21:00, 0.847,\n Until: 22:00, 0.686,\n Until: 23:00, 0.551,\n Until: 24:00, 0.551,\n For: Sunday AllOtherDays,\n Until: 1:00, 0.472,\n Until: 2:00, 0.472,\n Until: 3:00, 0.431,\n Until: 4:00, 0.418,\n Until: 5:00, 0.419,\n Until: 6:00, 0.453,\n Until: 7:00, 0.534,\n Until: 8:00, 0.66,\n Until: 9:00, 0.76,\n Until: 10:00, 0.694,\n Until: 11:00, 0.646,\n Until: 12:00, 0.631,\n Until: 13:00, 0.625,\n Until: 14:00, 0.625,\n Until: 15:00, 0.625,\n Until: 16:00, 0.623,\n Until: 17:00, 0.634,\n Until: 18:00, 0.679,\n Until: 19:00, 0.737,\n Until: 20:00, 0.817,\n Until: 21:00, 0.841,\n Until: 22:00, 0.681,\n Until: 23:00, 0.55,\n Until: 24:00, 0.55;",,,2,2,"68|""F""",,"72|""F""",,,,,,,,,VAVREHEAT,VAVREHEAT,"Through: 12/31,\n  For: AllDays,\n  Until: 24:00, 1;","Through: 12/31,\n  For: AllDays,\n  Until: 24:00, 1;",nil,"100606|""W""","100|""F""","0.01|""GPM""",0.95,"25212|""W""",,4,"8|""W/ft2""","8|""W/ft2""","55|""W/ft2""","1.45|""W/ft2""",0.58,"0.8|""W/ft2"""
