File Name,Total Annual (GJ),Elec Annual (GJ),Gas Annual (GJ),Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/sensitivity/runs/cooling_coil_cop_office=1/instance-out.sql,7995.82,6285.90,1709.92,499.62,455.20,508.46,502.87,535.61,535.43,573.34,593.30,546.73,530.24,501.29,503.82,233.63,206.06,186.08,140.55,108.80,75.80,57.25,47.44,76.56,136.71,192.55,248.47
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/sensitivity/runs/cooling_coil_cop_office=3.5/instance-out.sql,7993.00,6283.08,1709.92,499.62,455.20,508.46,502.80,535.42,535.00,572.56,592.32,546.40,530.20,501.28,503.82,233.63,206.06,186.08,140.55,108.80,75.80,57.25,47.44,76.56,136.71,192.55,248.47
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/sensitivity/runs/cooling_coil_cop_produce=1/instance-out.sql,7993.63,6283.71,1709.92,499.62,455.20,508.46,502.80,535.42,535.00,572.71,592.80,546.39,530.19,501.28,503.82,233.63,206.06,186.08,140.55,108.80,75.80,57.25,47.44,76.56,136.71,192.55,248.47
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/sensitivity/runs/cooling_coil_cop_produce=3.5/instance-out.sql,7992.93,6283.01,1709.92,499.62,455.20,508.46,502.80,535.42,534.99,572.54,592.28,546.39,530.19,501.28,503.82,233.63,206.06,186.08,140.55,108.80,75.80,57.25,47.44,76.56,136.71,192.55,248.47
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/sensitivity/runs/cooling_coil_cop_sales=1/instance-out.sql,7994.10,6284.18,1709.92,499.62,455.20,508.46,502.80,535.42,534.99,572.72,593.28,546.39,530.19,501.28,503.82,233.63,206.06,186.08,140.55,108.80,75.80,57.25,47.44,76.56,136.71,192.55,248.47
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/sensitivity/runs/cooling_coil_cop_sales=3.5/instance-out.sql,7992.90,6282.97,1709.92,499.62,455.20,508.46,502.80,535.42,534.99,572.53,592.25,546.39,530.19,501.28,503.82,233.63,206.06,186.08,140.55,108.80,75.80,57.25,47.44,76.56,136.71,192.55,248.47
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/sensitivity/runs/cooling_setpoint=70/instance-out.sql,8196.40,6881.37,1315.02,546.49,497.69,555.92,550.34,586.35,587.63,630.40,652.52,598.27,578.70,546.62,550.44,188.08,165.85,144.41,105.22,77.86,51.38,39.76,34.18,53.31,99.64,152.12,203.21
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/sensitivity/runs/cooling_setpoint=80/instance-out.sql,7883.02,6132.04,1750.98,488.56,445.15,497.08,491.16,522.57,520.89,556.70,575.54,532.90,518.35,490.37,492.77,239.87,211.41,190.98,144.14,111.52,77.21,57.88,47.31,78.12,140.31,197.63,254.59
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/sensitivity/runs/cooling_setpoint_setup=70/instance-out.sql,8185.31,6428.43,1756.88,509.61,464.67,519.26,514.02,547.90,548.58,588.36,609.15,559.65,541.55,511.59,514.09,262.64,213.57,190.72,143.20,110.66,77.00,58.48,48.86,77.40,136.47,191.23,246.65
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/sensitivity/runs/cooling_setpoint_setup=90/instance-out.sql,7985.75,6419.56,1566.19,511.12,465.50,519.98,513.97,547.03,546.45,584.40,604.38,557.67,541.68,512.22,515.17,212.45,191.63,171.75,128.42,97.72,66.35,49.81,41.04,67.34,124.60,180.16,234.92
