File Name,Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szhp/HZ1_CZ3/instance-out.sql,34.66,25.40,24.69,18.55,18.96,21.36,24.29,23.86,19.16,19.25,25.70,29.13,1.03,0.93,1.04,0.97,0.99,0.94,0.94,0.95,0.91,0.96,0.96,1.00
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szhp/HZ2_CZ1/instance-out.sql,32.87,25.69,26.48,20.65,19.57,19.49,20.61,21.02,18.62,20.62,27.90,29.81,1.03,0.94,1.05,0.99,1.01,0.97,0.97,0.98,0.94,0.99,0.97,1.01
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szhp/HZ2_CZ2/instance-out.sql,40.03,26.58,27.09,20.09,19.39,20.73,23.22,23.38,19.28,21.48,27.74,36.12,1.04,0.95,1.06,1.00,1.02,0.96,0.96,0.97,0.93,0.98,0.97,1.02
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szhp/HZ3_CZ1/instance-out.sql,33.91,37.37,32.30,26.08,21.70,21.23,21.53,22.25,19.32,25.76,31.33,38.33,1.05,0.96,1.08,1.01,1.04,0.99,0.99,1.00,0.96,1.00,0.99,1.03

File Name,Total Annual (GJ),Elec Annual (GJ),Gas Annual (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-new/HZ1_CZ1/instance-out.sql,272.21,235.52,36.68
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-new/HZ1_CZ2/instance-out.sql,270.82,238.46,32.36
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-new/HZ1_CZ3/instance-out.sql,302.50,251.96,50.54
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-new/HZ2_CZ1/instance-out.sql,295.69,240.25,55.44
