name,:roof_base_type,:roof_base_cavity_insul,:roof_base_cont_insul,:wall_base_type,:wall_base_cavity_insul,:wall_base_cont_insul,:foundation_insul,:window_u,:window_shgc,:air_leakage,:infiltration_schedule,:lighting_density_target,:lighting_schedule,:equipment_density_classroom,:equipment_schedule,:occupant_schedule,:heat_sizing_factor,:cool_sizing_factor,:heating_setpoint,:heating_setpoint_setback,:cooling_setpoint,:cooling_setpoint_setup,:heating_setpoint_sch,:cooling_setpoint_sch,:oa_person_office,:oa_area_office,:chiller_cop,:boiler_eff,:fan_eff,:fan_rise,:zone_hvac,:vav_cooling_coil_type,:vav_heating_coil_type,:cooling_coil_type,:heating_coil_type,:vav_sat_reset_control,:supply_hw_temp,:boiler_eff,:chiller_cop,:operation_schedule,:vav_operation_schedule,:minoa_schedule,:economizer_type,:economizer_high_limit,:economizer_lockout,:dhw_office,:dhw_temp,:dhw_schedule,:ext_light_w,:vestibule
default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existing-cbsa-2014,Insulation Entirely Above Deck,"0|""R-IP""","16.19|""R-IP""",Wood Framing at 16 in. on center,"0|""R-IP""","9.35|""R-IP""","3.05|""R-IP""","0.68|""U-IP""",0.41,"0.4|""CFM/ft2""","Through: 12/31,\n For: SummerDesignDay WinterDesignDay Weekdays,\n Until: 7:00, 1,\n Until: 18:00, 0.25,\n Until: 24:00, 1,\n For: Saturday,\n Until: 24:00, 1,\n For: Sunday AllOtherDays,\n Until: 24:00, 1;","1.0|""W/ft2""","Through: 12/31,\n For: SummerDesignDay,\n Until: 24:00, 1.0,\n For: WinterDesignDay,\n Until: 24:00, 0.0,\n For: Weekdays,\n Until: 1:00, 0.128,\n Until: 2:00, 0.13,\n Until: 3:00, 0.137,\n Until: 4:00, 0.161,\n Until: 5:00, 0.236,\n Until: 6:00, 0.407,\n Until: 7:00, 0.661,\n Until: 8:00, 0.823,\n Until: 9:00, 0.884,\n Until: 10:00, 0.9,\n Until: 11:00, 0.897,\n Until: 12:00, 0.897,\n Until: 13:00, 0.897,\n Until: 14:00, 0.897,\n Until: 15:00, 0.881,\n Until: 16:00, 0.838,\n Until: 17:00, 0.734,\n Until: 18:00, 0.599,\n Until: 19:00, 0.47,\n Until: 20:00, 0.349,\n Until: 21:00, 0.246,\n Until: 22:00, 0.194,\n Until: 23:00, 0.165,\n Until: 24:00, 0.151,\n For: Saturday,\n Until: 1:00, 0.127,\n Until: 2:00, 0.127,\n Until: 3:00, 0.127,\n Until: 4:00, 0.128,\n Until: 5:00, 0.131,\n Until: 6:00, 0.138,\n Until: 7:00, 0.15,\n Until: 8:00, 0.166,\n Until: 9:00, 0.18,\n Until: 10:00, 0.195,\n Until: 11:00, 0.205,\n Until: 12:00, 0.206,\n Until: 13:00, 0.204,\n Until: 14:00, 0.194,\n Until: 15:00, 0.18,\n Until: 16:00, 0.165,\n Until: 17:00, 0.156,\n Until: 18:00, 0.145,\n Until: 19:00, 0.13,\n Until: 20:00, 0.128,\n Until: 21:00, 0.127,\n Until: 22:00, 0.127,\n Until: 23:00, 0.127,\n Until: 24:00, 0.127,\n For: Sunday AllOtherDays,\n Until: 1:00, 0.126,\n Until: 2:00, 0.126,\n Until: 3:00, 0.126,\n Until: 4:00, 0.127,\n Until: 5:00, 0.129,\n Until: 6:00, 0.133,\n Until: 7:00, 0.145,\n Until: 8:00, 0.162,\n Until: 9:00, 0.173,\n Until: 10:00, 0.181,\n Until: 11:00, 0.186,\n Until: 12:00, 0.187,\n Until: 13:00, 0.187,\n Until: 14:00, 0.182,\n Until: 15:00, 0.175,\n Until: 16:00, 0.166,\n Until: 17:00, 0.159,\n Until: 18:00, 0.148,\n Until: 19:00, 0.133,\n Until: 20:00, 0.13,\n Until: 21:00, 0.128,\n Until: 22:00, 0.128,\n Until: 23:00, 0.126,\n Until: 24:00, 0.126;",,,,2,2,,,,,,,,,,,,,VAVREHEAT,CHILLEDWATER,HOTWATER,,,,,,,"Through: 12/31,\n For: SummerDesignDay WinterDesignDay Weekdays,\n Until: 7:00, 0,\n Until: 18:00, 1,\n Until: 24:00, 0,\n For: Saturday,\n Until: 24:00, 0,\n For: Sunday AllOtherDays,\n Until: 24:00, 0;","Through: 12/31,\n For: SummerDesignDay WinterDesignDay Weekdays,\n Until: 7:00, 0,\n Until: 18:00, 1,\n Until: 24:00, 0,\n For: Saturday,\n Until: 24:00, 0,\n For: Sunday AllOtherDays,\n Until: 24:00, 0;",nil,DifferentialDryBulb,,,,,,"8875|""W""",TRUE
calib1,Insulation Entirely Above Deck,"0|""R-IP""","15|""R-IP""",Wood Framing at 16 in. on center,"0|""R-IP""","7|""R-IP""","3.05|""R-IP""","0.68|""U-IP""",0.6,"0.8|""CFM/ft2""","Through: 12/31,\n For: SummerDesignDay WinterDesignDay Weekdays,\n Until: 7:00, 1,\n Until: 18:00, 0.25,\n Until: 24:00, 1,\n For: Saturday,\n Until: 24:00, 1,\n For: Sunday AllOtherDays,\n Until: 24:00, 1;","1.1|""W/ft2""","Through: 12/31,\n For: SummerDesignDay,\n Until: 24:00, 1.0,\n For: WinterDesignDay,\n Until: 24:00, 0.0,\n For: Weekdays,\n Until: 1:00, 0.128,\n Until: 2:00, 0.13,\n Until: 3:00, 0.137,\n Until: 4:00, 0.161,\n Until: 5:00, 0.236,\n Until: 6:00, 0.407,\n Until: 7:00, 0.661,\n Until: 8:00, 0.823,\n Until: 9:00, 0.884,\n Until: 10:00, 0.9,\n Until: 11:00, 0.897,\n Until: 12:00, 0.897,\n Until: 13:00, 0.897,\n Until: 14:00, 0.897,\n Until: 15:00, 0.881,\n Until: 16:00, 0.838,\n Until: 17:00, 0.734,\n Until: 18:00, 0.599,\n Until: 19:00, 0.47,\n Until: 20:00, 0.349,\n Until: 21:00, 0.246,\n Until: 22:00, 0.194,\n Until: 23:00, 0.165,\n Until: 24:00, 0.151,\n For: Saturday,\n Until: 1:00, 0.127,\n Until: 2:00, 0.127,\n Until: 3:00, 0.127,\n Until: 4:00, 0.128,\n Until: 5:00, 0.131,\n Until: 6:00, 0.138,\n Until: 7:00, 0.15,\n Until: 8:00, 0.166,\n Until: 9:00, 0.18,\n Until: 10:00, 0.195,\n Until: 11:00, 0.205,\n Until: 12:00, 0.206,\n Until: 13:00, 0.204,\n Until: 14:00, 0.194,\n Until: 15:00, 0.18,\n Until: 16:00, 0.165,\n Until: 17:00, 0.156,\n Until: 18:00, 0.145,\n Until: 19:00, 0.13,\n Until: 20:00, 0.128,\n Until: 21:00, 0.127,\n Until: 22:00, 0.127,\n Until: 23:00, 0.127,\n Until: 24:00, 0.127,\n For: Sunday AllOtherDays,\n Until: 1:00, 0.126,\n Until: 2:00, 0.126,\n Until: 3:00, 0.126,\n Until: 4:00, 0.127,\n Until: 5:00, 0.129,\n Until: 6:00, 0.133,\n Until: 7:00, 0.145,\n Until: 8:00, 0.162,\n Until: 9:00, 0.173,\n Until: 10:00, 0.181,\n Until: 11:00, 0.186,\n Until: 12:00, 0.187,\n Until: 13:00, 0.187,\n Until: 14:00, 0.182,\n Until: 15:00, 0.175,\n Until: 16:00, 0.166,\n Until: 17:00, 0.159,\n Until: 18:00, 0.148,\n Until: 19:00, 0.133,\n Until: 20:00, 0.13,\n Until: 21:00, 0.128,\n Until: 22:00, 0.128,\n Until: 23:00, 0.126,\n Until: 24:00, 0.126;","0.65|""W/ft2""",,,2,2,"68|""F""",,,,,,,,,,,,VAVREHEAT,CHILLEDWATER,HOTWATER,,,WARMEST,,,3.5,"Through: 12/31,\n For: SummerDesignDay WinterDesignDay Weekdays,\n Until: 7:00, 0,\n Until: 18:00, 1,\n Until: 24:00, 0,\n For: Saturday,\n Until: 24:00, 0,\n For: Sunday AllOtherDays,\n Until: 24:00, 0;","Through: 12/31,\n For: SummerDesignDay WinterDesignDay Weekdays,\n Until: 7:00, 0,\n Until: 18:00, 1,\n Until: 24:00, 0,\n For: Saturday,\n Until: 24:00, 0,\n For: Sunday AllOtherDays,\n Until: 24:00, 0;",nil,DifferentialDryBulb,,,,,,"8875|""W""",TRUE
