File Name,Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
Calib,211.75099999999998,190.40870000000004,220.09749999999997,203.8335,221.64460000000003,234.1049,244.0115,259.8583,220.26530000000002,213.88729999999998,206.89600000000004,207.28520000000003,193.71400000000003,123.72810000000001,75.0525,29.3477,9.843200000000001,5.4763,4.505,4.870000000000001,6.6516,27.4381,106.88199999999999,164.839
existing-cbsa-2014,258.0777,237.28340000000003,283.1699,266.4505,292.2937,303.048,306.2885,328.4463,284.8107,277.8558,260.3039,254.40880000000004,21.344,10.3253,6.963700000000001,4.5565,3.717,2.9823,2.6181,2.78,2.9117000000000006,4.3134999999999994,8.6481,14.534099999999999
