File Name,Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/calibration/runs/Calib/HZ2_CZ2/instance-out.sql,3901.43,2893.09,1008.34
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/calibration/runs/Calib/HZ3_CZ1/instance-out.sql,4306.29,2883.10,1423.19
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/calibration/runs/existing-cbsa-2014/HZ1_CZ1/instance-out.sql,3405.12,3335.47,69.65
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/calibration/runs/existing-cbsa-2014/HZ1_CZ2/instance-out.sql,3476.58,3416.46,60.12
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/calibration/runs/existing-cbsa-2014/HZ1_CZ3/instance-out.sql,3684.06,3584.44,99.61
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/calibration/runs/existing-cbsa-2014/HZ2_CZ1/instance-out.sql,3563.37,3455.62,107.75
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/calibration/runs/existing-cbsa-2014/HZ2_CZ2/instance-out.sql,3715.69,3578.98,136.70
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/calibration/runs/existing-cbsa-2014/HZ3_CZ1/instance-out.sql,3747.04,3553.65,193.39

File Name,Net Site EUI (MJ/m2),Net Source EUI (MJ/m2),Total Energy/Net Site Energy (GJ),Total Energy/Net Source Energy (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/calibration/runs/Calib/HZ1_CZ1/instance-out.sql,653.48,1874.29,3255.75,9338.05
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/calibration/runs/Calib/HZ1_CZ2/instance-out.sql,648.83,1905.65,3232.60,9494.31
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/calibration/runs/Calib/HZ1_CZ3/instance-out.sql,748.02,2100.91,3726.77,10467.10
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/calibration/runs/Calib/HZ2_CZ1/instance-out.sql,738.39,2040.32,3678.82,10165.25
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/calibration/runs/Calib/HZ2_CZ2/instance-out.sql,783.08,2151.40,3901.43,10718.67
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/calibration/runs/Calib/HZ3_CZ1/instance-out.sql,864.34,2231.88,4306.29,11119.62
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/calibration/runs/existing-cbsa-2014/HZ1_CZ1/instance-out.sql,683.46,2250.70,3405.12,11213.39
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/calibration/runs/existing-cbsa-2014/HZ1_CZ2/instance-out.sql,697.80,2302.99,3476.58,11473.92
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/calibration/runs/existing-cbsa-2014/HZ1_CZ3/instance-out.sql,739.45,2423.90,3684.06,12076.34
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/calibration/runs/existing-cbsa-2014/HZ2_CZ1/instance-out.sql,715.22,2339.25,3563.37,11654.60
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/calibration/runs/existing-cbsa-2014/HZ2_CZ2/instance-out.sql,745.79,2428.04,3715.69,12096.93
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/calibration/runs/existing-cbsa-2014/HZ3_CZ1/instance-out.sql,752.09,2422.97,3747.04,12071.68

File Name,Total (GJ),Heating (GJ),Cooling (GJ),Lights (GJ),Equipment (GJ),Fans (GJ),Pumps (GJ),Heat Recovery (GJ),DHW (GJ),CHP (GJ),Generated (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/calibration/runs/Calib/HZ1_CZ1/instance-out.sql,3255.75,611.89,95.59,410.59,1247.11,714.46,0.06,0.0,58.04,0.0,0.000
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/calibration/runs/Calib/HZ1_CZ2/instance-out.sql,3232.59,511.22,170.81,410.59,1247.11,717.44,0.06,0.0,56.84,0.0,0.000
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/calibration/runs/Calib/HZ1_CZ3/instance-out.sql,3726.7799999999997,805.55,239.04,410.59,1247.11,848.3,0.06,0.0,58.09,0.0,0.000
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/calibration/runs/Calib/HZ2_CZ1/instance-out.sql,3678.81,864.6,161.49,410.59,1247.11,815.95,0.06,0.0,60.82,0.0,0.000
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/calibration/runs/Calib/HZ2_CZ2/instance-out.sql,3901.4300000000003,947.05,223.01,410.59,1247.11,894.19,0.06,0.0,61.29,0.0,0.000
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/calibration/runs/Calib/HZ3_CZ1/instance-out.sql,4306.29,1359.46,160.95,410.59,1247.11,946.43,0.06,0.0,63.73,0.0,0.000
