File Name,Total Annual (GJ),Elec Annual (GJ),Gas Annual (GJ),Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/equipment_density_cafeteria=1/instance-out.sql,3648.05,2890.67,757.38,256.31,228.34,256.56,233.40,243.78,237.21,213.09,230.46,237.43,250.37,249.47,254.24,108.21,92.59,80.34,56.65,48.86,41.75,25.27,26.61,39.06,53.63,80.51,103.89
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/equipment_density_cafeteria=3/instance-out.sql,3654.38,2918.50,735.89,258.63,230.39,258.84,235.59,246.16,239.62,215.60,233.11,239.76,252.65,251.68,256.45,105.33,89.58,77.34,54.88,47.97,41.15,24.97,26.33,38.51,52.15,77.76,99.92
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/equipment_density_classroom=0.5/instance-out.sql,3156.12,2413.88,742.24,214.93,190.87,213.94,193.53,201.84,196.25,179.04,194.25,197.83,208.97,208.97,213.46,105.99,90.34,78.45,55.43,48.26,41.38,25.07,26.43,38.71,52.54,78.25,101.39
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/equipment_density_classroom=2/instance-out.sql,3983.35,3240.17,743.18,286.54,255.61,287.58,262.46,274.43,267.23,238.70,257.61,266.48,280.54,278.94,284.06,106.23,90.66,78.46,55.36,48.22,41.35,25.06,26.41,38.68,52.49,78.39,101.87
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/equipment_density_computer=1/instance-out.sql,3629.23,2886.31,742.91,255.86,227.92,256.05,232.95,243.35,236.85,213.11,230.47,237.08,249.89,248.99,253.80,106.06,90.71,78.48,55.41,48.24,41.37,25.07,26.42,38.69,52.51,78.44,101.52
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/equipment_density_computer=3/instance-out.sql,3683.51,2940.60,742.91,260.55,232.16,260.88,237.47,248.12,241.50,217.09,234.64,241.60,254.59,253.57,258.43,106.06,90.68,78.46,55.41,48.26,41.38,25.07,26.42,38.70,52.51,78.41,101.56
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/equipment_density_corridor=0.2/instance-out.sql,3621.14,2877.71,743.43,255.12,227.25,255.29,232.23,242.59,236.09,212.49,229.80,236.36,249.14,248.26,253.08,106.13,90.75,78.55,55.44,48.26,41.38,25.07,26.43,38.70,52.55,78.52,101.64
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/equipment_density_corridor=1/instance-out.sql,3768.81,3027.85,740.95,268.13,238.97,268.65,244.75,255.79,249.04,223.37,241.35,248.85,262.15,260.96,265.85,106.00,90.32,78.16,55.29,48.15,41.31,25.04,26.40,38.64,52.31,78.18,101.14
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/equipment_density_gym=0.2/instance-out.sql,3643.71,2889.46,754.24,256.20,228.22,256.40,233.25,243.64,237.07,213.18,230.53,237.31,250.21,249.32,254.13,107.70,92.14,79.98,56.42,48.92,41.65,25.13,26.46,39.03,53.59,79.99,103.24
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/equipment_density_gym=1.5/instance-out.sql,3693.99,2990.97,703.02,264.60,235.83,265.02,241.52,252.56,246.16,221.36,239.22,245.98,258.75,257.53,262.44,99.62,85.23,72.85,52.18,46.47,40.68,24.96,26.39,37.87,49.09,72.80,94.88
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/equipment_density_kitchen=10/instance-out.sql,3600.89,2852.45,748.44,253.15,225.47,253.30,230.26,240.46,233.99,209.85,227.14,234.25,247.12,246.35,251.11,106.93,91.53,79.17,55.90,48.44,41.47,25.10,26.45,38.78,52.87,79.12,102.68
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/equipment_density_kitchen=25/instance-out.sql,3702.30,2963.95,738.34,262.36,233.79,262.71,239.31,250.09,243.52,219.47,237.13,243.55,256.49,255.35,260.19,105.43,89.91,77.91,55.03,48.08,41.28,25.04,26.41,38.60,52.18,78.08,100.40
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/equipment_density_library=0.5/instance-out.sql,3592.89,2849.59,743.30,252.67,225.05,252.77,229.88,240.11,233.67,210.50,227.64,234.02,246.71,245.87,250.68,106.00,90.75,78.48,55.44,48.26,41.38,25.07,26.43,38.70,52.55,78.49,101.75
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/equipment_density_library=2/instance-out.sql,3692.20,2949.77,742.43,261.34,232.86,261.69,238.22,248.92,242.28,217.77,235.33,242.43,255.37,254.35,259.21,105.98,90.57,78.39,55.40,48.23,41.36,25.06,26.41,38.68,52.47,78.41,101.47
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/equipment_density_lobby=0.2/instance-out.sql,3647.70,2904.77,742.93,257.46,229.36,257.69,234.48,244.98,238.44,214.45,231.88,238.62,251.49,250.54,255.37,106.06,90.71,78.50,55.43,48.24,41.37,25.07,26.42,38.69,52.51,78.39,101.53
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/equipment_density_lobby=1/instance-out.sql,3670.01,2927.55,742.46,259.44,231.15,259.73,236.38,246.96,240.40,216.10,233.63,240.48,253.47,252.48,257.32,106.08,90.61,78.37,55.35,48.22,41.35,25.06,26.42,38.68,52.50,78.35,101.46
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/equipment_density_mechanical=0.2/instance-out.sql,3646.23,2902.39,743.84,257.26,229.18,257.48,234.29,244.76,238.23,214.27,231.69,238.41,251.28,250.35,255.19,106.15,90.80,78.58,55.48,48.28,41.39,25.07,26.43,38.71,52.58,78.58,101.78
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/equipment_density_mechanical=1/instance-out.sql,3675.86,2936.42,739.44,260.18,231.81,260.50,237.11,247.77,241.18,216.77,234.35,241.26,254.22,253.22,258.04,105.67,90.14,78.06,55.04,48.08,41.28,25.03,26.39,38.60,52.20,78.11,100.84
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/equipment_density_office=0.5/instance-out.sql,3617.74,2872.53,745.21,254.68,226.86,254.83,231.80,242.14,235.65,212.10,229.38,235.93,248.70,247.83,252.63,106.34,90.99,78.77,55.63,48.39,41.43,25.09,26.44,38.76,52.73,78.75,101.90
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/equipment_density_office=2/instance-out.sql,3722.12,2983.95,738.17,264.28,235.51,264.72,241.07,251.92,245.25,220.29,238.01,245.28,258.32,257.22,262.10,105.46,90.03,77.89,54.98,47.96,41.23,25.02,26.39,38.55,52.05,77.82,100.79
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/gas_max_kitchen=100000/instance-out.sql,3564.33,2906.69,657.64,257.70,229.58,257.93,234.67,245.10,238.53,214.47,231.91,238.70,251.70,250.78,255.63,98.83,84.21,70.85,48.38,40.52,33.71,18.76,19.66,31.50,45.19,71.25,94.78
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/gas_max_kitchen=200000/instance-out.sql,3710.79,2911.59,799.21,258.00,229.85,258.25,235.05,245.60,239.09,215.00,232.50,239.21,252.05,251.09,255.90,110.79,94.92,83.44,60.12,53.32,46.41,29.22,30.88,43.42,57.36,83.24,106.08
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/heating_setpoint=65/instance-out.sql,3564.10,2908.60,655.50,257.93,229.75,257.95,234.74,245.20,238.63,214.70,232.18,238.82,251.77,250.98,255.96,94.67,81.49,66.13,47.30,41.78,37.39,23.37,25.01,34.40,43.35,67.72,92.88
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/heating_setpoint=75/instance-out.sql,3784.46,2913.13,871.32,257.85,229.70,258.42,235.34,246.01,239.44,215.12,232.58,239.56,252.42,251.12,255.57,119.55,101.20,94.14,67.97,60.23,49.85,29.16,30.51,47.40,67.00,92.76,111.57
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/heating_setpoint_setback=50/instance-out.sql,3585.39,2906.89,678.50,257.16,229.11,257.91,234.87,245.39,238.85,214.80,232.25,239.01,251.91,250.66,254.97,88.33,76.28,72.91,54.19,48.08,41.39,25.07,26.42,38.69,51.81,70.99,84.33
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/heating_setpoint_setback=70/instance-out.sql,3900.42,2918.21,982.21,258.61,230.36,259.19,236.10,246.32,239.25,215.00,232.38,239.41,253.11,251.98,256.49,138.70,117.83,107.55,82.06,66.76,47.53,28.60,28.45,47.05,77.84,106.16,133.70
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/lighting_density_bath=0.5/instance-out.sql,3652.39,2909.59,742.80,257.87,229.74,258.11,234.88,245.39,238.85,214.81,232.26,239.01,251.91,250.96,255.80,106.01,90.65,78.36,55.37,48.22,41.37,25.07,26.42,38.68,52.52,78.45,101.68
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/lighting_density_bath=2/instance-out.sql,3652.62,2909.64,742.98,257.89,229.73,258.13,234.89,245.41,238.84,214.80,232.25,239.02,251.92,250.97,255.77,106.24,90.56,78.46,55.43,48.28,41.37,25.06,26.41,38.70,52.52,78.57,101.39
