File Name,Total Annual (GJ),Elec Annual (GJ),Gas Annual (GJ),Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-quick-service/sensitivity/runs/cooling_setpoint_kitchen=80/instance-out.sql,1374.01,641.93,732.08,53.71,48.43,53.61,52.04,54.08,53.11,56.19,57.37,53.29,54.04,52.21,53.85,75.49,64.94,65.38,58.42,57.23,53.43,54.56,54.50,53.32,58.46,63.79,72.55
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-quick-service/sensitivity/runs/cooling_setpoint_kitchen_setup=70/instance-out.sql,1434.51,703.09,731.41,58.08,52.41,58.06,56.68,59.48,58.94,62.70,63.89,59.12,58.95,56.52,58.26,75.49,64.91,65.40,58.39,57.10,53.34,54.49,54.46,53.24,58.29,63.66,72.65
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-quick-service/sensitivity/runs/cooling_setpoint_kitchen_setup=90/instance-out.sql,1384.99,652.76,732.23,54.48,49.14,54.39,52.86,55.02,54.18,57.37,58.60,54.29,54.87,52.93,54.63,75.44,64.92,65.45,58.48,57.27,53.43,54.54,54.49,53.33,58.51,63.83,72.55
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-quick-service/sensitivity/runs/cooling_setpoint_setup=70/instance-out.sql,1390.66,661.48,729.18,54.70,49.34,54.65,53.30,55.75,55.32,59.16,60.51,55.44,55.30,53.15,54.84,74.94,64.49,64.61,58.40,57.43,53.24,54.49,54.48,53.34,58.69,63.47,71.62
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-quick-service/sensitivity/runs/cooling_setpoint_setup=90/instance-out.sql,1380.55,649.50,731.05,54.22,48.90,54.13,52.60,54.73,53.89,57.06,58.28,54.02,54.63,52.67,54.37,75.20,64.77,65.30,58.38,57.19,53.41,54.53,54.49,53.30,58.43,63.67,72.39
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-quick-service/sensitivity/runs/dhw_kitchen=0.5/instance-out.sql,1360.45,647.06,713.39,54.03,48.72,53.93,52.41,54.52,53.67,56.83,58.04,53.81,54.43,52.48,54.18,73.73,63.35,63.70,56.87,55.66,51.94,53.08,53.03,51.90,56.98,62.26,70.89
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-quick-service/sensitivity/runs/dhw_kitchen=1/instance-out.sql,1416.33,647.34,768.99,54.04,48.73,53.94,52.42,54.55,53.70,56.87,58.09,53.84,54.44,52.51,54.19,78.86,68.04,68.81,61.65,60.38,56.30,57.37,57.32,56.09,61.48,66.85,75.85
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-quick-service/sensitivity/runs/economizer_high_limit_dining=45/instance-out.sql,1379.76,647.83,731.93,54.04,48.73,53.94,52.43,54.62,53.78,56.99,58.17,53.94,54.49,52.51,54.18,75.46,64.94,65.44,58.46,57.17,53.38,54.51,54.47,53.28,58.43,63.80,72.58
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-quick-service/sensitivity/runs/economizer_high_limit_dining=65/instance-out.sql,1377.95,645.12,732.84,54.03,48.72,53.92,52.32,54.34,53.27,56.42,57.74,53.46,54.28,52.45,54.18,75.48,64.94,65.47,58.55,57.36,53.50,54.58,54.50,53.41,58.63,63.84,72.59
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-quick-service/sensitivity/runs/economizer_high_limit_kitchen=45/instance-out.sql,1379.47,647.14,732.33,54.03,48.73,53.94,52.41,54.53,53.68,56.84,58.06,53.82,54.44,52.49,54.18,75.48,64.93,65.44,58.49,57.26,53.43,54.54,54.49,53.33,58.51,63.82,72.59
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-quick-service/sensitivity/runs/economizer_high_limit_kitchen=65/instance-out.sql,1379.47,647.14,732.33,54.03,48.73,53.94,52.41,54.53,53.68,56.84,58.06,53.82,54.44,52.49,54.18,75.48,64.93,65.44,58.49,57.26,53.43,54.54,54.49,53.33,58.51,63.82,72.59
