key,dependencies,units,values
exhaust_fan_rise_laundry,,,
exhaust_fan_flow_dining,,,
exhaust_fan_flow_kitchen,,,
exhaust_fan_flow_laundry,,,
radiant_control_type,,,MAT,MRT,OPT
radiant_supp_cw_temp,,,
radiant_tube_spacing,,,
radiant_supp_hw_temp,,,
radiant_tube_diameter,,,
radiant_flow_sizing,,,
ext_light_w,,,
schedule_ext_lights,,,
control_option,,,ASTRONOMICALCLOCK,SCHEDULENAMEONLY
ext_equipment_fuel,,,NaturalGas,Electricity,DistrictHeating
ext_equipment_w,,,
schedule_ext_equipment,,,
oa_economizer,,,false,true
oa_econ_high_limit,,,
fan_eff_supply,,,
fan_rise_supply,,,
fan_motor_eff_supply,,,
vav_fan_min_flow_supply,,,
return_fan,,,false,true
sat_reset_control,,,NONE,SCHEDULE,OUTDOORTEMP,WARMEST
sat_no_reset,,,
sat_schedule_occ,,,
sat_schedule_reset,,,
sat_outdoor_low_temp,,,
sat_outdoor_low_setpt,,,
sat_outdoor_high_temp,,,
sat_outdoor_high_setpt,,,
sat_warmest_low_setpt,,,
sat_warmest_high_setpt,,,
cooling_coil_type,,,NONE,DX,CHILLEDWATER
cooling_coil_cop,,,
heating_coil_type,,,NONE,GAS,ELECTRIC,HOTWATER
heating_coil_eff,,,
heating_coil_cop,,,
oa_desiccant_hx,,,false,true
oa_desicc_fan_eff,,,
oa_desicc_fan_rise,,,
oa_energy_recovery,,,false,true
oa_er_sensible_eff,,,
oa_er_latent_eff,,,
oa_indirect_evap,,,false,true
oa_ind_evap_eff,,,
oa_ind_evap_secondary,,,RETURN,OUTDOORS
operation_schedule,,,
minoa_schedule,,,
minfracoa_schedule,,,
min_flow_frac_schedule,,,
night_cycle,,,false,true
doas_flr_3_oa_system,,,
doas_flr_6_oa_system,,,
doas_oa_economizer,,,false,true
doas_flr_3_fan_eff_supply,,,
doas_flr_3_fan_rise_supply,,,
doas_flr_3_fan_motor_eff_supply,,,
doas_flr_6_fan_eff_supply,,,
doas_flr_6_fan_rise_supply,,,
doas_flr_6_fan_motor_eff_supply,,,
doas_return_fan,,,false,true
doas_sat_reset_control,,,NONE,SCHEDULE,OUTDOORTEMP,WARMEST
doas_sat_no_reset,,,
doas_sat_schedule_occ,,,
doas_sat_schedule_reset,,,
doas_sat_outdoor_low_temp,,,
doas_sat_outdoor_low_setpt,,,
doas_sat_outdoor_high_temp,,,
doas_sat_outdoor_high_setpt,,,
doas_sat_warmest_low_setpt,,,
doas_sat_warmest_high_setpt,,,
doas_cooling_coil_type,,,NONE,DX,CHILLEDWATER
doas_heating_coil_type,,,NONE,GAS,ELECTRIC,HOTWATER
doas_oa_desiccant_hx,,,false,true
doas_oa_desicc_fan_eff,,,
doas_oa_desicc_fan_rise,,,
doas_oa_ind_evap_eff,,,
doas_oa_ind_evap_secondary,,,RETURN,OUTDOORS
doas_operation_schedule,,,
supply_cw_temp,,,
supply_cw_delta,,,
pump_type_cw,,,CONSTANT,VARIABLE
pump_eff_cw,,,
pump_head_cw,,,
pump_control_cw,,,INTERMITTENT,CONTINUOUS
cooling_source,,,CHILLER,GSHP
chiller_duplicate,,,false,true
chiller_type,,,ELECTRIC,ABSORPTION
chiller_model,,,NREL,TRANE_RTAA_125,TRANE_CGA_120,Air-Cooled GTE 150tons Default 90.1-2004,WC Screw Default 90.1-2004,WC Centrifugal Default 90.1-2004
chiller_cop,,,
chiller_sizing,,,
chiller_condenser,,,AIRCOOLED,WATERCOOLED,EVAPCOOLED
chiller_cond_hr,,,false,true
chiller_hr_flow,,,
chiller_outdoor_min,,,
chiller_economizer,,,false,true
pump_eff_cond,,,
pump_head_cond,,,
chiller_generator_type,,,HOTWATER,STEAM,DIRECTFIRED
heating_source,,,BOILER,CHP
boiler_type,,,NONCONDENSING,CONDENSING,ELECTRIC
supply_hw_setpoint_type,,,Constant,Reset
supply_hw_temp,,,
supply_hw_delta,,,
supply_hw_temp_at_lo,,,
hw_lo_outdoor_temp,,,
supply_hw_temp_at_hi,,,
hw_hi_outdoor_temp,,,
pump_type_hw,,,CONSTANT,VARIABLE
pump_eff_hw,,,
pump_head_hw,,,
pump_control_hw,,,INTERMITTENT,CONTINUOUS
boiler_eff,,,
chp_therm_eff,,,
chp_elec_eff,,,
loss_factor,,,
water_heater_fuel,,,NaturalGas,Electricity,DistrictHeating
water_heater_eff,,,
supply_dhw_temp,,,
pump_eff_dhw,,,
pump_head_dhw,,,
dhw_recovery,,,false,true
daylighting_controls,,,true,false
top_daylighting,,,NONE,SKYLIGHT,TUBULAR
solar_hot_water,,,true,false
solar_collector_type,,,GLAZED-FLAT-PLATE,TUBULAR
solar_collector_performance,,,LOW,MEDIUM,HIGH
solar_collector_fraction_usable_roof_area,,,
rainwater_harvest,,,true,false
graywater_recycling,,,true,false
cooling_coil_condensate,,,true,false
landscaping_control,,,true,false
landscaping_area,,,
annual_irrigation_factor,,,
irrigation_system_efficiency,,,
vestibule,,,true,false
cooling_setpoint_sch,,,
heating_setpoint_sch,,,
cooling_setpoint_sch_kitchen,,,
heating_setpoint_sch_kitchen,,,
