File Name,Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/calibration/runs/Calib/HZ2_CZ1/instance-out.sql,19549.61,7071.46,12478.15
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/calibration/runs/Calib/HZ2_CZ2/instance-out.sql,19743.98,7278.77,12465.21
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/calibration/runs/Calib/HZ3_CZ1/instance-out.sql,21752.64,7191.96,14560.68
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/calibration/runs/existing-cbsa-2014/HZ1_CZ1/instance-out.sql,11160.23,9856.86,1303.37
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/calibration/runs/existing-cbsa-2014/HZ1_CZ2/instance-out.sql,11509.06,10254.47,1254.59
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/calibration/runs/existing-cbsa-2014/HZ1_CZ3/instance-out.sql,12419.87,10967.79,1452.09
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/calibration/runs/existing-cbsa-2014/HZ2_CZ1/instance-out.sql,11973.62,10364.34,1609.28
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/calibration/runs/existing-cbsa-2014/HZ2_CZ2/instance-out.sql,12778.75,11108.44,1670.30
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/calibration/runs/existing-cbsa-2014/HZ3_CZ1/instance-out.sql,12694.50,10834.87,1859.62

File Name,Net Site EUI (MJ/m2),Net Source EUI (MJ/m2),Total Energy/Net Site Energy (GJ),Total Energy/Net Source Energy (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/calibration/runs/Calib/HZ1_CZ1/instance-out.sql,876.33,1711.37,17168.98,33529.25
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/calibration/runs/Calib/HZ1_CZ2/instance-out.sql,864.41,1723.90,16935.45,33774.57
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/calibration/runs/Calib/HZ1_CZ3/instance-out.sql,946.83,1837.88,18550.29,36007.71
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/calibration/runs/Calib/HZ2_CZ1/instance-out.sql,997.84,1872.36,19549.61,36683.30
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/calibration/runs/Calib/HZ2_CZ2/instance-out.sql,1007.76,1907.01,19743.98,37362.18
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/calibration/runs/Calib/HZ3_CZ1/instance-out.sql,1110.28,2004.19,21752.64,39266.19
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/calibration/runs/existing-cbsa-2014/HZ1_CZ1/instance-out.sql,569.63,1750.03,11160.23,34286.54
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/calibration/runs/existing-cbsa-2014/HZ1_CZ2/instance-out.sql,587.44,1815.20,11509.06,35563.50
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/calibration/runs/existing-cbsa-2014/HZ1_CZ3/instance-out.sql,633.93,1947.36,12419.87,38152.74
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/calibration/runs/existing-cbsa-2014/HZ2_CZ1/instance-out.sql,611.15,1852.89,11973.62,36301.80
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/calibration/runs/existing-cbsa-2014/HZ2_CZ2/instance-out.sql,652.24,1983.00,12778.75,38851.01
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/calibration/runs/existing-cbsa-2014/HZ3_CZ1/instance-out.sql,647.94,1946.48,12694.50,38135.50

File Name,Total (GJ),Heating (GJ),Cooling (GJ),Lights (GJ),Equipment (GJ),Fans (GJ),Pumps (GJ),Heat Recovery (GJ),DHW (GJ),CHP (GJ),Generated (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/calibration/runs/Calib/HZ1_CZ1/instance-out.sql,17168.98,8868.76,249.17,3027.93,3047.38,599.83,69.61,0.0,1004.51,0.0,0.000
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/calibration/runs/Calib/HZ1_CZ2/instance-out.sql,16935.45,8453.96,450.98,3027.93,3047.38,602.3,76.72,0.0,972.15,0.0,0.000
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/calibration/runs/Calib/HZ1_CZ3/instance-out.sql,18550.3,9784.24,573.2,3027.93,3047.38,708.47,86.4,0.0,1020.17,0.0,0.000
