File Name,Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/calibration/runs/Calib/HZ1_CZ3/instance-out.sql,33465.30,23703.51,9761.79
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/calibration/runs/Calib/HZ2_CZ1/instance-out.sql,33179.00,23169.16,10009.84
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/calibration/runs/Calib/HZ2_CZ2/instance-out.sql,33943.32,23707.43,10235.89
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/calibration/runs/Calib/HZ3_CZ1/instance-out.sql,37298.21,23476.57,13821.64
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/calibration/runs/default/HZ1_CZ1/instance-out.sql,20315.33,18968.54,1346.79
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/calibration/runs/default/HZ1_CZ2/instance-out.sql,20641.03,19410.96,1230.07
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/calibration/runs/default/HZ1_CZ3/instance-out.sql,21373.48,19842.30,1531.18
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/calibration/runs/default/HZ2_CZ1/instance-out.sql,20783.49,19315.96,1467.53
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/calibration/runs/default/HZ2_CZ2/instance-out.sql,21095.70,19626.65,1469.04
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/calibration/runs/default/HZ3_CZ1/instance-out.sql,21482.79,19410.06,2072.73

File Name,Net Site EUI (MJ/m2),Net Source EUI (MJ/m2),Total Energy/Net Site Energy (GJ),Total Energy/Net Source Energy (GJ)
