File Name,Total Annual (GJ),Elec Annual (GJ),Gas Annual (GJ),Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/dhw_kitchen=1/instance-out.sql,23181.57,20842.25,2339.31,1592.37,1511.24,1890.99,1738.01,1873.93,1787.89,1615.06,1792.83,1747.91,1874.42,1743.49,1674.12,404.10,308.90,244.24,170.17,136.25,104.99,70.10,73.76,103.92,152.08,231.22,339.56
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/dhw_kitchen=5/instance-out.sql,23393.25,20801.52,2591.73,1587.82,1502.89,1880.80,1737.77,1875.25,1787.51,1615.29,1792.79,1748.79,1876.96,1729.84,1665.83,430.61,333.25,273.02,194.80,161.73,121.92,78.78,83.12,119.12,175.62,255.65,364.10
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/dhw_temp_bath=100/instance-out.sql,23222.95,20824.61,2398.34,1590.94,1510.04,1887.41,1737.58,1874.71,1787.23,1615.15,1792.98,1748.10,1876.29,1735.27,1668.90,410.35,314.76,251.13,175.95,142.21,108.87,72.05,75.90,107.40,157.51,236.86,345.34
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/dhw_temp_bath=140/instance-out.sql,23292.89,20827.29,2465.60,1591.05,1510.51,1887.52,1737.77,1874.85,1787.40,1615.27,1792.92,1748.16,1876.55,1736.49,1668.80,416.88,320.70,258.31,182.31,149.15,113.73,74.66,78.70,111.90,164.18,243.45,351.64
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/dhw_temp_gym=100/instance-out.sql,23204.07,20824.95,2379.13,1590.91,1509.99,1887.20,1738.00,1874.48,1787.12,1615.17,1793.00,1747.89,1876.12,1736.49,1668.58,408.52,313.06,249.07,174.10,140.23,106.34,72.32,76.14,105.21,155.59,235.06,343.49
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/dhw_temp_gym=140/instance-out.sql,23345.34,20825.93,2519.41,1591.25,1510.28,1887.36,1738.82,1873.35,1787.69,1615.19,1793.04,1748.38,1876.47,1735.41,1668.70,422.03,325.44,263.99,187.56,154.68,120.83,73.93,77.97,118.06,169.56,248.62,356.74
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/dhw_temp_kitchen=100/instance-out.sql,23212.83,20841.41,2371.42,1592.15,1511.15,1884.70,1738.91,1874.04,1788.27,1615.14,1792.85,1747.79,1878.89,1741.87,1675.63,407.76,312.30,248.27,173.45,139.42,106.95,71.04,74.75,105.62,154.85,234.24,342.78
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/dhw_temp_kitchen=140/instance-out.sql,23279.37,20822.91,2456.46,1590.29,1507.08,1889.41,1737.38,1874.89,1787.35,1615.15,1792.42,1748.25,1875.67,1735.32,1669.71,416.06,319.91,257.32,181.45,148.20,113.05,74.28,78.32,111.26,163.25,242.59,350.77
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/equipment_density_auditorium=0.4/instance-out.sql,23229.43,20810.12,2419.30,1589.72,1509.10,1885.42,1737.55,1872.91,1785.78,1614.06,1792.04,1746.41,1874.57,1735.07,1667.51,412.73,316.77,253.41,177.87,144.20,110.17,72.77,76.63,108.65,159.46,239.05,347.59
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/equipment_density_auditorium=2/instance-out.sql,23597.55,21247.21,2350.33,1625.93,1544.81,1928.74,1778.93,1918.47,1819.33,1630.96,1815.21,1778.56,1922.66,1776.41,1707.19,398.22,305.50,245.24,173.14,141.59,109.28,72.44,76.21,107.63,155.69,230.88,334.52
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/equipment_density_bath=0.4/instance-out.sql,23243.99,20828.61,2415.38,1591.24,1510.37,1887.80,1737.95,1875.01,1787.59,1615.40,1793.24,1748.36,1875.94,1736.72,1669.00,411.97,316.21,252.95,177.58,144.02,110.10,72.74,76.59,108.57,159.20,238.56,346.89
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/equipment_density_bath=2/instance-out.sql,23414.64,21019.96,2394.68,1606.43,1525.72,1905.78,1755.43,1893.39,1803.61,1626.10,1804.31,1764.36,1894.50,1754.23,1686.10,407.88,313.16,250.72,176.24,143.14,109.56,72.28,76.11,107.95,157.91,236.29,343.42
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/equipment_density_cafeteria=1.5/instance-out.sql,23229.78,20811.28,2418.50,1590.09,1509.29,1886.12,1737.23,1873.57,1786.22,1614.20,1792.00,1746.95,1875.30,1735.22,1665.09,412.48,316.60,253.29,177.83,144.21,110.20,72.81,76.66,108.69,159.46,238.94,347.33
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/equipment_density_cafeteria=4/instance-out.sql,23319.02,20924.07,2394.94,1597.74,1517.97,1894.87,1746.28,1883.25,1795.88,1623.15,1800.07,1756.63,1885.68,1745.44,1677.12,408.68,313.70,250.58,175.83,142.76,109.53,72.29,76.14,107.86,157.47,236.08,344.02
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/equipment_density_classroom=0.5/instance-out.sql,22491.96,19963.28,2528.68,1520.99,1445.27,1800.92,1662.66,1793.65,1716.05,1570.63,1741.42,1679.64,1782.57,1656.82,1592.66,435.12,333.07,265.64,185.26,148.49,112.43,74.47,78.46,111.25,165.66,251.42,367.43
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/equipment_density_classroom=2/instance-out.sql,25170.91,22959.87,2211.04,1759.34,1688.31,2094.23,1931.61,2078.61,1965.59,1733.16,1916.63,1914.19,2086.32,1930.69,1861.20,368.21,284.22,231.09,164.95,136.37,105.52,69.48,73.29,103.47,148.32,217.07,309.06
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/equipment_density_computer=1/instance-out.sql,23242.17,20826.17,2416.00,1590.98,1510.06,1887.37,1738.21,1874.68,1787.27,1615.17,1793.01,1748.02,1876.36,1736.41,1668.61,412.08,316.29,253.01,177.62,144.05,110.12,72.75,76.61,108.59,159.25,238.63,346.99
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/equipment_density_computer=4/instance-out.sql,23242.17,20826.17,2416.00,1590.98,1510.06,1887.37,1738.21,1874.68,1787.27,1615.17,1793.01,1748.02,1876.36,1736.41,1668.61,412.08,316.29,253.01,177.62,144.05,110.12,72.75,76.61,108.59,159.25,238.63,346.99
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/equipment_density_corridor=0.3/instance-out.sql,23172.46,20738.62,2433.83,1582.40,1503.16,1878.45,1730.16,1867.25,1780.38,1611.37,1787.93,1741.25,1868.47,1726.94,1660.86,414.64,318.29,254.88,178.95,145.22,111.07,73.45,77.39,109.47,160.59,240.53,349.36
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/equipment_density_corridor=2/instance-out.sql,24903.14,22720.44,2182.70,1751.06,1670.47,2064.91,1905.59,2051.18,1950.58,1725.70,1909.69,1904.55,2061.94,1911.27,1813.50,376.17,288.77,228.80,160.84,130.22,99.05,62.50,66.27,97.08,142.78,215.18,315.04
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/equipment_density_elevator=15/instance-out.sql,23360.61,20947.27,2413.33,1600.67,1518.93,1899.67,1748.78,1884.97,1797.51,1623.82,1803.18,1756.78,1886.83,1746.07,1680.07,411.74,316.02,252.75,177.42,143.86,109.95,72.60,76.44,108.42,159.05,238.40,346.68
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/equipment_density_elevator=6/instance-out.sql,23191.40,20773.40,2418.00,1586.82,1506.00,1882.20,1734.65,1869.99,1783.13,1611.36,1788.61,1743.72,1871.23,1731.86,1663.86,412.38,316.53,253.23,177.79,144.17,110.21,72.84,76.70,108.70,159.39,238.81,347.26
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/equipment_density_gym=2/instance-out.sql,24562.45,22279.89,2282.56,1708.13,1633.04,2026.41,1867.89,2010.26,1905.43,1692.28,1874.13,1861.38,2021.11,1867.44,1812.41,383.11,294.68,237.71,169.09,139.43,108.08,71.45,75.28,106.15,152.20,223.82,321.55
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/equipment_density_gym=6/instance-out.sql,28046.72,25865.01,2181.71,2017.43,1930.87,2372.31,2169.94,2327.96,2208.72,1897.48,2083.55,2161.22,2350.02,2192.20,2153.31,358.00,277.53,228.14,163.73,136.07,105.51,69.41,73.13,103.55,148.27,214.49,303.89
