Parameter,Elec Jan,Elec Feb,Elec Mar,Elec Apr,Elec May,Elec Jun,Elec Jul,Elec Aug,Elec Sep,Elec Oct,Elec Nov,Elec Dec,WinterVsSummerE,Gas Jan,Gas Feb,Gas Mar,Gas Apr,Gas May,Gas Jun,Gas Jul,Gas Aug,Gas Sep,Gas Oct,Gas Nov,Gas Dec,WinterVsSumerG
lighting_density_lobby,0.000000,0.000000,0.000000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.010000,0.000000,0.010000,0.000000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.000000,0.010000,-0.010000
lighting_density_cafeteria,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.010000,0.020000,0.020000,0.020000,0.010000,0.010000,0.010000,0.020000,0.020000,0.020000,0.010000,-0.010000
lighting_density_kitchen,0.000000,0.010000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.010000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000
water_heater_eff,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.030000,0.040000,0.050000,0.070000,0.070000,0.030000,0.030000,0.060000,0.060000,0.040000,0.030000,-0.010000
heating_coil_eff_kitchen,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.020000,0.010000,0.010000,0.010000,0.010000,0.010000,-0.020000
lighting_density_library,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.000000,-0.020000
window_shgc,0.100000,0.100000,0.120000,0.120000,0.120000,0.110000,0.110000,0.110000,0.110000,0.110000,0.100000,0.110000,-0.010000,0.130000,0.150000,0.150000,0.150000,0.140000,0.120000,0.140000,0.140000,0.130000,0.140000,0.140000,0.130000,-0.020000
wall_base_cavity_insul,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,-0.010000,0.010000,0.010000,0.000000,0.010000,0.010000,0.020000,0.020000,0.020000,0.020000,0.010000,0.000000,0.010000,-0.020000
dhw_temp_bath,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.030000,0.030000,0.050000,0.040000,0.030000,0.040000,0.040000,0.040000,0.030000,0.020000,-0.040000
dhw_temp_kitchen,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.040000,0.040000,0.060000,0.050000,0.040000,0.050000,0.050000,0.050000,0.030000,0.020000,-0.050000
fan_eff,0.380000,0.400000,0.390000,0.420000,0.400000,0.350000,0.340000,0.350000,0.350000,0.390000,0.390000,0.390000,0.080000,0.420000,0.430000,0.470000,0.470000,0.440000,0.410000,0.470000,0.470000,0.450000,0.470000,0.450000,0.440000,-0.080000
wall_base_cont_insul,0.110000,0.110000,0.130000,0.120000,0.120000,0.150000,0.170000,0.160000,0.140000,0.110000,0.120000,0.080000,-0.140000,0.170000,0.150000,0.060000,0.010000,0.090000,0.160000,0.210000,0.210000,0.160000,0.040000,0.100000,0.160000,-0.090000
dhw_kitchen,0.000000,0.010000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.000000,0.010000,0.060000,0.070000,0.110000,0.130000,0.160000,0.140000,0.110000,0.110000,0.130000,0.130000,0.100000,0.070000,-0.090000
equipment_density_corridor,0.100000,0.100000,0.090000,0.090000,0.090000,0.090000,0.070000,0.060000,0.090000,0.090000,0.100000,0.080000,0.050000,0.090000,0.090000,0.100000,0.100000,0.100000,0.110000,0.150000,0.140000,0.110000,0.110000,0.110000,0.100000,-0.100000
dhw_bath,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.110000,0.130000,0.180000,0.210000,0.260000,0.230000,0.190000,0.190000,0.210000,0.220000,0.170000,0.120000,-0.140000
fan_rise,0.480000,0.490000,0.490000,0.500000,0.490000,0.440000,0.430000,0.430000,0.440000,0.500000,0.500000,0.490000,0.100000,0.500000,0.520000,0.560000,0.570000,0.550000,0.540000,0.610000,0.600000,0.570000,0.580000,0.550000,0.530000,-0.180000
lighting_density_corridor,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.010000,0.010000,0.020000,0.050000,0.070000,0.120000,0.120000,0.070000,0.040000,0.010000,0.010000,-0.210000
gas_max_kitchen,0.090000,0.080000,0.070000,0.070000,0.050000,0.040000,0.040000,0.030000,0.040000,0.060000,0.080000,0.060000,0.080000,0.650000,0.690000,0.770000,0.810000,0.860000,0.890000,0.910000,0.920000,0.880000,0.840000,0.760000,0.680000,-0.500000
heating_setpoint,0.170000,0.160000,0.130000,0.130000,0.100000,0.040000,0.020000,0.010000,0.060000,0.130000,0.150000,0.180000,0.310000,0.500000,0.520000,0.620000,0.670000,0.680000,0.700000,0.790000,0.790000,0.730000,0.690000,0.590000,0.520000,-0.560000
