File Name,Total Annual (GJ),Elec Annual (GJ),Gas Annual (GJ),Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/economizer_high_limit=65/instance-out.sql,262.19,219.68,42.51,17.97,16.17,18.66,17.12,18.62,19.02,19.12,21.40,18.33,18.12,17.56,17.58,9.94,7.88,3.81,1.86,1.06,0.95,0.95,0.97,0.94,1.29,4.16,8.69
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/economizer_lockout=LockoutWithCompressor/instance-out.sql,262.19,219.68,42.51,17.97,16.17,18.66,17.12,18.62,19.02,19.12,21.40,18.33,18.12,17.56,17.58,9.94,7.88,3.81,1.86,1.06,0.95,0.95,0.97,0.94,1.29,4.16,8.69
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/economizer_lockout=LockoutWithHeating/instance-out.sql,262.19,219.68,42.51,17.97,16.17,18.66,17.12,18.62,19.02,19.12,21.40,18.33,18.12,17.56,17.58,9.94,7.88,3.81,1.86,1.06,0.95,0.95,0.97,0.94,1.29,4.16,8.69
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/economizer_lockout=NoLockout/instance-out.sql,262.19,219.68,42.51,17.97,16.17,18.66,17.12,18.62,19.02,19.12,21.40,18.33,18.12,17.56,17.58,9.94,7.88,3.81,1.86,1.06,0.95,0.95,0.97,0.94,1.29,4.16,8.69
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/economizer_type=DifferentialDryBulb/instance-out.sql,261.80,217.44,44.36,17.97,16.17,18.64,17.02,18.24,18.53,18.85,21.10,17.91,17.88,17.54,17.58,10.11,8.03,4.22,2.11,1.13,0.96,0.95,0.97,0.95,1.49,4.56,8.89
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/economizer_type=NoEconomizer/instance-out.sql,262.19,219.68,42.51,17.97,16.17,18.66,17.12,18.62,19.02,19.12,21.40,18.33,18.12,17.56,17.58,9.94,7.88,3.81,1.86,1.06,0.95,0.95,0.97,0.94,1.29,4.16,8.69
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/equipment_density=0.5/instance-out.sql,227.28,168.65,58.63,13.98,12.55,14.46,13.10,14.09,14.39,14.53,16.47,13.93,13.88,13.62,13.66,13.16,10.58,6.23,2.99,1.22,0.97,0.95,0.97,0.95,1.92,6.63,12.04
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/equipment_density=2/instance-out.sql,346.65,323.79,22.86,25.98,23.49,27.36,25.55,27.94,28.33,28.41,31.35,27.22,26.99,25.72,25.44,4.99,3.90,1.61,1.11,0.99,0.95,0.95,0.97,0.93,1.01,1.67,3.77
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/ext_light_w=1500/instance-out.sql,275.37,232.86,42.51,19.40,17.35,19.82,18.07,19.48,19.74,19.93,22.32,19.39,19.36,18.91,19.08,9.94,7.88,3.81,1.86,1.06,0.95,0.95,0.97,0.94,1.29,4.16,8.69
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/ext_light_w=500/instance-out.sql,259.68,217.17,42.51,17.70,15.95,18.44,16.94,18.46,18.88,18.97,21.22,18.13,17.88,17.31,17.30,9.94,7.88,3.81,1.86,1.06,0.95,0.95,0.97,0.94,1.29,4.16,8.69
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/fan_eff=0.4/instance-out.sql,270.50,232.55,37.95,18.94,17.05,19.72,18.13,19.82,20.25,20.26,22.70,19.45,19.19,18.53,18.50,8.89,7.06,3.19,1.61,1.03,0.95,0.95,0.97,0.93,1.19,3.51,7.66
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/fan_eff=0.7/instance-out.sql,256.91,210.90,46.00,17.30,15.57,17.94,16.45,17.81,18.17,18.34,20.50,17.57,17.39,16.91,16.95,10.70,8.49,4.32,2.07,1.09,0.95,0.95,0.97,0.94,1.40,4.68,9.44
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/fan_motor_eff=0.8/instance-out.sql,262.19,219.68,42.51,17.97,16.17,18.66,17.12,18.62,19.02,19.12,21.40,18.33,18.12,17.56,17.58,9.94,7.88,3.81,1.86,1.06,0.95,0.95,0.97,0.94,1.29,4.16,8.69
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/fan_motor_eff=0.9/instance-out.sql,262.19,219.68,42.51,17.97,16.17,18.66,17.12,18.62,19.02,19.12,21.40,18.33,18.12,17.56,17.58,9.94,7.88,3.81,1.86,1.06,0.95,0.95,0.97,0.94,1.29,4.16,8.69
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/fan_rise=2/instance-out.sql,257.65,212.17,45.48,17.40,15.66,18.04,16.55,17.93,18.30,18.45,20.63,17.68,17.50,17.00,17.04,10.59,8.40,4.24,2.03,1.08,0.95,0.95,0.97,0.94,1.38,4.60,9.33
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/fan_rise=4/instance-out.sql,277.27,242.42,34.86,19.68,17.73,20.53,18.92,20.75,21.19,21.12,23.69,20.30,20.03,19.29,19.19,8.15,6.48,2.80,1.47,1.01,0.95,0.95,0.97,0.93,1.14,3.08,6.93
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/foundation_type=Exterior Horizontal/instance-out.sql,262.19,219.68,42.51,17.97,16.17,18.66,17.12,18.62,19.02,19.12,21.40,18.33,18.12,17.56,17.58,9.94,7.88,3.81,1.86,1.06,0.95,0.95,0.97,0.94,1.29,4.16,8.69
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/foundation_type=Full Slab/instance-out.sql,261.43,220.86,40.57,18.03,16.23,18.74,17.23,18.77,19.17,19.25,21.52,18.43,18.20,17.63,17.64,9.72,7.40,3.42,1.72,1.05,0.95,0.95,0.97,0.94,1.27,4.01,8.18
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/foundation_type=None/instance-out.sql,262.19,219.68,42.51,17.97,16.17,18.66,17.12,18.62,19.02,19.12,21.40,18.33,18.12,17.56,17.58,9.94,7.88,3.81,1.86,1.06,0.95,0.95,0.97,0.94,1.29,4.16,8.69
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/heat_sizing_factor=1/instance-out.sql,262.19,219.68,42.51,17.97,16.17,18.66,17.12,18.62,19.02,19.12,21.40,18.33,18.12,17.56,17.58,9.94,7.88,3.81,1.86,1.06,0.95,0.95,0.97,0.94,1.29,4.16,8.69
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/heat_sizing_factor=2/instance-out.sql,262.19,219.68,42.51,17.97,16.17,18.66,17.12,18.62,19.02,19.12,21.40,18.33,18.12,17.56,17.58,9.94,7.88,3.81,1.86,1.06,0.95,0.95,0.97,0.94,1.29,4.16,8.69
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/heating_coil_eff=0.75/instance-out.sql,264.25,219.68,44.57,17.97,16.17,18.66,17.12,18.62,19.02,19.12,21.40,18.33,18.12,17.56,17.58,10.54,8.35,3.99,1.92,1.06,0.95,0.95,0.97,0.94,1.31,4.38,9.21
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/heating_coil_eff=0.95/instance-out.sql,257.31,219.68,37.63,17.97,16.17,18.66,17.12,18.62,19.02,19.12,21.40,18.33,18.12,17.56,17.58,8.53,6.78,3.37,1.72,1.05,0.95,0.95,0.97,0.94,1.24,3.66,7.48
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/heating_setpoint=65/instance-out.sql,247.04,219.68,27.36,18.00,16.20,18.65,17.09,18.61,19.01,19.12,21.39,18.33,18.11,17.56,17.61,6.37,5.21,1.68,1.05,0.99,0.95,0.95,0.97,0.93,0.98,1.91,5.36
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/heating_setpoint=75/instance-out.sql,291.06,220.23,70.83,17.96,16.19,18.74,17.26,18.74,19.06,19.14,21.41,18.37,18.21,17.60,17.57,15.09,11.90,8.18,4.36,2.01,1.18,0.99,0.99,1.21,3.32,8.33,13.27
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/heating_setpoint_setback=50/instance-out.sql,259.15,219.45,39.70,17.88,16.11,18.65,17.12,18.62,19.02,19.12,21.40,18.33,18.11,17.55,17.53,8.74,7.04,3.81,1.87,1.06,0.95,0.95,0.97,0.94,1.29,4.06,8.02
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/heating_setpoint_setback=70/instance-out.sql,297.69,222.07,75.61,18.43,16.56,18.96,17.35,18.73,19.05,19.13,21.41,18.34,18.24,17.85,18.03,17.26,13.34,7.90,4.11,1.69,0.95,0.95,0.97,0.95,3.03,8.87,15.59
