/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/Calib/HZ2_CZ2/instance-out.sql,2987.71,2061.20,926.50
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/Calib/HZ3_CZ1/instance-out.sql,3221.98,2074.35,1147.63
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/existing-cbsa-2014/HZ1_CZ1/instance-out.sql,1288.76,922.08,366.68
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/existing-cbsa-2014/HZ1_CZ2/instance-out.sql,1286.88,956.36,330.52
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/existing-cbsa-2014/HZ1_CZ3/instance-out.sql,1517.41,1029.80,487.62
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/existing-cbsa-2014/HZ2_CZ1/instance-out.sql,1594.29,965.51,628.78
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/existing-cbsa-2014/HZ2_CZ2/instance-out.sql,1724.23,1012.59,711.65
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/existing-cbsa-2014/HZ3_CZ1/instance-out.sql,1930.70,1029.22,901.49

File Name,Net Site EUI (MJ/m2),Net Source EUI (MJ/m2),Total Energy/Net Site Energy (GJ),Total Energy/Net Source Energy (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/Calib/HZ1_CZ1/instance-out.sql,504.26,1482.98,2318.72,6819.11
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/Calib/HZ1_CZ2/instance-out.sql,506.11,1499.35,2327.24,6894.38
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/Calib/HZ1_CZ3/instance-out.sql,577.44,1620.47,2655.19,7451.32
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/Calib/HZ2_CZ1/instance-out.sql,597.09,1608.72,2745.59,7397.28
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/Calib/HZ2_CZ2/instance-out.sql,649.75,1708.14,2987.71,7854.46
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/Calib/HZ3_CZ1/instance-out.sql,700.70,1768.04,3221.98,8129.90
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/existing-cbsa-2014/HZ1_CZ1/instance-out.sql,280.27,753.25,1288.76,3463.65
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/existing-cbsa-2014/HZ1_CZ2/instance-out.sql,279.86,769.92,1286.88,3540.30
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/existing-cbsa-2014/HZ1_CZ3/instance-out.sql,330.00,859.04,1517.41,3950.06
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/existing-cbsa-2014/HZ2_CZ1/instance-out.sql,346.72,844.48,1594.29,3883.14
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/existing-cbsa-2014/HZ2_CZ2/instance-out.sql,374.98,897.54,1724.23,4127.13
