baseline,ssr,rms,mae
Calib,9899.874090354551,20.309966857796024,15.690709512499984
default,525035.3669289638,147.90697624534198,141.7204698625
existing-cbsa-2014,430948.49867879355,134.0006994196289,127.56958652916667
