File Name,Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
Calib,605.9987000000001,550.2156,615.4970999999999,606.6509,645.8199999999999,656.3380999999999,708.4576,712.9033000000001,654.871,633.8956,599.1628000000001,609.9554,496.6274,402.8575,364.4738,272.03069999999997,215.0713,148.4115,125.34259999999999,130.84300000000002,164.4931,270.7124,393.7272,493.0046000000001
default,431.4947,393.32630000000006,443.41659999999996,435.60259999999994,466.41400000000004,476.41679999999997,511.6315000000001,520.8259,476.7153,457.33610000000004,430.2952,435.4537,279.16830000000004,240.90920000000003,222.8366,169.254,134.5894,89.56280000000001,68.53110000000001,66.1913,97.30940000000001,164.97879999999998,237.6729,295.1036
existing-cbsa-2014,489.8668,444.86269999999996,497.86119999999994,491.0481,523.2687999999999,530.9830000000001,572.4531,577.2581,532.6626,515.4592,485.7837,493.2828,246.14730000000003,209.10920000000002,191.44150000000002,140.0525,106.92140000000002,67.0839,47.381800000000005,46.06129999999999,73.1576,136.56500000000003,206.43700000000004,259.5087
