File Name,Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/existing-cbsa-2014/HZ1_CZ3/instance-out.sql,497.74,452.72,503.27,510.33,543.10,557.64,612.05,589.61,542.57,524.22,490.48,500.50,297.66,221.74,201.89,118.63,89.20,54.60,32.12,43.85,62.35,119.99,224.32,275.73
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/existing-cbsa-2014/HZ2_CZ1/instance-out.sql,495.10,446.09,496.24,492.14,516.77,534.71,578.45,563.08,526.26,516.14,482.08,499.45,275.42,231.59,228.40,161.06,131.86,72.86,48.47,60.13,84.46,146.97,257.62,285.24
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/existing-cbsa-2014/HZ2_CZ2/instance-out.sql,497.73,449.76,499.36,494.53,535.94,543.22,590.55,576.38,523.10,515.83,485.14,498.55,311.28,230.86,227.70,146.57,100.87,51.39,35.63,45.19,81.79,148.71,242.24,329.58
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/existing-cbsa-2014/HZ3_CZ1/instance-out.sql,506.50,455.47,505.12,491.65,530.08,545.33,587.85,569.15,518.11,520.13,492.93,504.86,265.18,295.86,268.35,220.08,131.86,73.61,43.69,53.53,109.72,192.73,263.05,336.68

File Name,Total Annual (GJ),Elec Annual (GJ),Gas Annual (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/Calib/HZ1_CZ1/instance-out.sql,11030.53,7723.45,3307.08
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/Calib/HZ1_CZ2/instance-out.sql,11078.96,7887.82,3191.13
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/Calib/HZ1_CZ3/instance-out.sql,11480.43,7876.67,3603.75
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/Calib/HZ2_CZ1/instance-out.sql,11770.79,7585.62,4185.17
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/Calib/HZ2_CZ2/instance-out.sql,11947.33,7698.30,4249.03
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/Calib/HZ3_CZ1/instance-out.sql,12442.19,7726.87,4715.31
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/default/HZ1_CZ1/instance-out.sql,7648.24,5648.04,2000.19
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/default/HZ1_CZ2/instance-out.sql,7587.69,5717.78,1869.90
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/default/HZ1_CZ3/instance-out.sql,7708.88,5545.62,2163.26
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/default/HZ2_CZ1/instance-out.sql,7812.84,5396.16,2416.68
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/default/HZ2_CZ2/instance-out.sql,7814.40,5392.76,2421.64
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/default/HZ3_CZ1/instance-out.sql,8137.70,5388.38,2749.33
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/existing-cbsa-2014/HZ1_CZ1/instance-out.sql,7992.95,6283.03,1709.92
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/existing-cbsa-2014/HZ1_CZ2/instance-out.sql,7944.39,6359.92,1584.47
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/existing-cbsa-2014/HZ1_CZ3/instance-out.sql,8066.29,6324.22,1742.08
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/existing-cbsa-2014/HZ2_CZ1/instance-out.sql,8130.58,6146.50,1984.08
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/existing-cbsa-2014/HZ2_CZ2/instance-out.sql,8161.90,6210.09,1951.81
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/existing-cbsa-2014/HZ3_CZ1/instance-out.sql,8481.51,6227.17,2254.33

File Name,Net Site EUI (MJ/m2),Net Source EUI (MJ/m2),Total Energy/Net Site Energy (GJ),Total Energy/Net Source Energy (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/Calib/HZ1_CZ1/instance-out.sql,2638.38,6998.39,11030.53,29258.83
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/Calib/HZ1_CZ2/instance-out.sql,2649.96,7100.67,11078.96,29686.44
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/Calib/HZ1_CZ3/instance-out.sql,2745.99,7195.10,11480.43,30081.22
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/Calib/HZ2_CZ1/instance-out.sql,2815.44,7108.19,11770.79,29717.86
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/Calib/HZ2_CZ2/instance-out.sql,2857.67,7214.20,11947.33,30161.07
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/Calib/HZ3_CZ1/instance-out.sql,2976.03,7353.79,12442.19,30744.68
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/default/HZ1_CZ1/instance-out.sql,1829.37,5013.08,7648.24,20958.66
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/default/HZ1_CZ2/instance-out.sql,1814.89,5036.17,7587.69,21055.19
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/default/HZ1_CZ3/instance-out.sql,1843.88,4972.10,7708.88,20787.31
